,date,MCD stock,isPartial
26,2012-06-27,28.5,False
27,2012-06-28,13.68,False
28,2012-06-29,38.0,False
29,2012-06-30,10.26,False
0,2012-07-01,0.0,False
1,2012-07-02,5.67,False
2,2012-07-03,22.41,False
3,2012-07-04,11.610000000000001,False
4,2012-07-05,5.94,False
5,2012-07-06,17.82,False
6,2012-07-07,7.0200000000000005,False
7,2012-07-08,0.0,False
8,2012-07-09,11.34,False
9,2012-07-10,8.370000000000001,False
10,2012-07-11,17.01,False
11,2012-07-12,8.64,False
12,2012-07-13,11.88,False
13,2012-07-14,14.040000000000001,False
14,2012-07-15,7.0200000000000005,False
15,2012-07-16,0.0,False
16,2012-07-17,8.370000000000001,False
17,2012-07-18,16.740000000000002,False
18,2012-07-19,8.64,False
19,2012-07-20,5.94,False
20,2012-07-21,0.0,False
21,2012-07-22,0.0,False
22,2012-07-23,22.68,False
23,2012-07-24,11.34,False
24,2012-07-25,22.68,False
25,2012-07-26,11.610000000000001,False
26,2012-07-27,27.0,False
27,2012-07-28,0.0,False
28,2012-07-29,7.0200000000000005,False
29,2012-07-30,0.0,False
30,2012-07-31,5.67,False
0,2012-08-01,7.140000000000001,False
1,2012-08-02,7.140000000000001,False
2,2012-08-03,14.96,False
3,2012-08-04,17.68,False
4,2012-08-05,8.84,False
5,2012-08-06,17.68,False
6,2012-08-07,7.140000000000001,False
7,2012-08-08,21.42,False
8,2012-08-09,18.02,False
9,2012-08-10,34.0,False
10,2012-08-11,8.84,False
11,2012-08-12,0.0,False
12,2012-08-13,18.02,False
13,2012-08-14,10.88,False
14,2012-08-15,26.180000000000003,False
15,2012-08-16,10.88,False
16,2012-08-17,19.040000000000003,False
17,2012-08-18,8.84,False
18,2012-08-19,18.360000000000003,False
19,2012-08-20,22.1,False
20,2012-08-21,7.140000000000001,False
21,2012-08-22,21.42,False
22,2012-08-23,28.900000000000002,False
23,2012-08-24,14.96,False
24,2012-08-25,8.84,False
25,2012-08-26,25.500000000000004,False
26,2012-08-27,6.800000000000001,False
27,2012-08-28,17.0,False
28,2012-08-29,10.540000000000001,False
29,2012-08-30,28.220000000000002,False
30,2012-08-31,10.88,False
0,2012-09-01,14.75,False
