,date,EA stock,isPartial
12,2012-06-13,2.8000000000000003,False
13,2012-06-14,6.300000000000001,False
14,2012-06-15,6.580000000000001,False
15,2012-06-16,2.5900000000000003,False
16,2012-06-17,0.0,False
17,2012-06-18,4.83,False
18,2012-06-19,4.760000000000001,False
19,2012-06-20,3.5000000000000004,False
20,2012-06-21,7.000000000000001,False
21,2012-06-22,5.880000000000001,False
22,2012-06-23,1.7500000000000002,False
23,2012-06-24,0.0,False
24,2012-06-25,4.130000000000001,False
25,2012-06-26,6.16,False
26,2012-06-27,3.5000000000000004,False
27,2012-06-28,5.670000000000001,False
28,2012-06-29,4.48,False
29,2012-06-30,2.66,False
0,2012-07-01,1.4000000000000001,False
1,2012-07-02,2.8000000000000003,False
2,2012-07-03,5.5,False
3,2012-07-04,2.9000000000000004,False
4,2012-07-05,5.7,False
5,2012-07-06,1.2000000000000002,False
6,2012-07-07,2.8000000000000003,False
7,2012-07-08,2.7,False
8,2012-07-09,3.9000000000000004,False
9,2012-07-10,5.4,False
10,2012-07-11,5.7,False
11,2012-07-12,4.5,False
12,2012-07-13,3.5,False
13,2012-07-14,1.4000000000000001,False
14,2012-07-15,1.4000000000000001,False
15,2012-07-16,4.5,False
16,2012-07-17,2.8000000000000003,False
17,2012-07-18,2.2,False
18,2012-07-19,6.300000000000001,False
19,2012-07-20,8.3,False
20,2012-07-21,2.1,False
21,2012-07-22,1.4000000000000001,False
22,2012-07-23,2.8000000000000003,False
23,2012-07-24,2.8000000000000003,False
24,2012-07-25,4.5,False
25,2012-07-26,4.5,False
26,2012-07-27,5.9,False
27,2012-07-28,7.0,False
28,2012-07-29,2.8000000000000003,False
29,2012-07-30,4.5,False
30,2012-07-31,10.0,False
0,2012-08-01,10.0,False
1,2012-08-02,5.300000000000001,False
2,2012-08-03,3.0,False
3,2012-08-04,2.4000000000000004,False
4,2012-08-05,4.7,False
5,2012-08-06,2.8000000000000003,False
6,2012-08-07,3.8000000000000003,False
7,2012-08-08,2.8000000000000003,False
8,2012-08-09,3.8000000000000003,False
9,2012-08-10,2.5,False
10,2012-08-11,1.2000000000000002,False
11,2012-08-12,1.2000000000000002,False
12,2012-08-13,3.3000000000000003,False
13,2012-08-14,1.9000000000000001,False
14,2012-08-15,2.9000000000000004,False
15,2012-08-16,6.2,False
16,2012-08-17,3.5,False
17,2012-08-18,1.8,False
18,2012-08-19,2.4000000000000004,False
19,2012-08-20,2.9000000000000004,False
20,2012-08-21,4.3,False
21,2012-08-22,1.9000000000000001,False
22,2012-08-23,2.9000000000000004,False
23,2012-08-24,2.5,False
24,2012-08-25,1.1,False
25,2012-08-26,1.1,False
26,2012-08-27,2.7,False
27,2012-08-28,2.7,False
28,2012-08-29,2.3000000000000003,False
29,2012-08-30,2.8000000000000003,False
30,2012-08-31,2.4000000000000004,False
0,2012-09-01,3.6400000000000006,False
1,2012-09-02,1.8200000000000003,False
2,2012-09-03,1.54,False
3,2012-09-04,4.83,False
4,2012-09-05,0.0,False
5,2012-09-06,3.9200000000000004,False
6,2012-09-07,5.180000000000001,False
