,date,MAT stock,isPartial
24,2012-07-25,7.0200000000000005,False
25,2012-07-26,9.620000000000001,False
26,2012-07-27,11.18,False
27,2012-07-28,0.0,False
28,2012-07-29,0.0,False
29,2012-07-30,7.0200000000000005,False
30,2012-07-31,0.0,False
0,2012-08-01,0.0,False
1,2012-08-02,14.7,False
2,2012-08-03,7.56,False
3,2012-08-04,8.82,False
4,2012-08-05,8.82,False
5,2012-08-06,0.0,False
6,2012-08-07,0.0,False
7,2012-08-08,7.14,False
8,2012-08-09,7.35,False
9,2012-08-10,7.56,False
10,2012-08-11,9.03,False
11,2012-08-12,0.0,False
12,2012-08-13,7.14,False
13,2012-08-14,7.14,False
14,2012-08-15,0.0,False
15,2012-08-16,7.35,False
16,2012-08-17,0.0,False
17,2012-08-18,13.44,False
18,2012-08-19,9.24,False
19,2012-08-20,11.129999999999999,False
20,2012-08-21,0.0,False
21,2012-08-22,0.0,False
22,2012-08-23,10.92,False
23,2012-08-24,15.12,False
24,2012-08-25,0.0,False
25,2012-08-26,0.0,False
26,2012-08-27,21.0,False
27,2012-08-28,0.0,False
28,2012-08-29,9.45,False
29,2012-08-30,7.14,False
30,2012-08-31,7.35,False
0,2012-09-01,13.0,False
1,2012-09-02,12.75,False
2,2012-09-03,10.75,False
3,2012-09-04,20.75,False
4,2012-09-05,10.5,False
5,2012-09-06,21.25,False
6,2012-09-07,11.25,False
7,2012-09-08,12.75,False
8,2012-09-09,0.0,False
9,2012-09-10,10.25,False
10,2012-09-11,10.25,False
11,2012-09-12,0.0,False
12,2012-09-13,10.5,False
13,2012-09-14,10.75,False
14,2012-09-15,0.0,False
15,2012-09-16,12.5,False
16,2012-09-17,0.0,False
17,2012-09-18,10.25,False
18,2012-09-19,20.5,False
19,2012-09-20,10.5,False
20,2012-09-21,0.0,False
21,2012-09-22,25.0,False
22,2012-09-23,0.0,False
23,2012-09-24,0.0,False
24,2012-09-25,10.0,False
25,2012-09-26,20.25,False
26,2012-09-27,0.0,False
27,2012-09-28,0.0,False
28,2012-09-29,0.0,False
29,2012-09-30,0.0,False
0,2012-10-01,0.0,False
1,2012-10-02,8.4,False
2,2012-10-03,8.6,False
3,2012-10-04,8.200000000000001,False
4,2012-10-05,17.400000000000002,False
5,2012-10-06,0.0,False
6,2012-10-07,0.0,False
7,2012-10-08,8.0,False
8,2012-10-09,0.0,False
9,2012-10-10,16.2,False
10,2012-10-11,8.200000000000001,False
11,2012-10-12,8.6,False
12,2012-10-13,0.0,False
13,2012-10-14,0.0,False
14,2012-10-15,8.0,False
15,2012-10-16,20.0,False
16,2012-10-17,12.0,False
17,2012-10-18,12.200000000000001,False
18,2012-10-19,12.8,False
19,2012-10-20,0.0,False
20,2012-10-21,9.600000000000001,False
21,2012-10-22,8.0,False
22,2012-10-23,0.0,False
23,2012-10-24,0.0,False
24,2012-10-25,0.0,False
25,2012-10-26,0.0,False
26,2012-10-27,0.0,False
27,2012-10-28,9.4,False
28,2012-10-29,0.0,False
29,2012-10-30,7.800000000000001,False
30,2012-10-31,8.200000000000001,False
0,2012-11-01,5.2,False
1,2012-11-02,10.600000000000001,False
2,2012-11-03,5.800000000000001,False
3,2012-11-04,0.0,False
4,2012-11-05,4.800000000000001,False
5,2012-11-06,4.800000000000001,False
6,2012-11-07,0.0,False
7,2012-11-08,4.800000000000001,False
8,2012-11-09,0.0,False
9,2012-11-10,0.0,False
10,2012-11-11,5.800000000000001,False
11,2012-11-12,0.0,False
12,2012-11-13,0.0,False
13,2012-11-14,0.0,False
14,2012-11-15,7.4,False
15,2012-11-16,0.0,False
16,2012-11-17,0.0,False
