,date,KO stock,isPartial
19,2012-07-20,11.309999999999999,False
20,2012-07-21,0.0,False
21,2012-07-22,6.959999999999999,False
22,2012-07-23,10.729999999999999,False
23,2012-07-24,16.24,False
24,2012-07-25,16.529999999999998,False
25,2012-07-26,16.82,False
26,2012-07-27,28.999999999999996,False
27,2012-07-28,20.299999999999997,False
28,2012-07-29,13.34,False
29,2012-07-30,26.68,False
30,2012-07-31,21.75,False
0,2012-08-01,14.4,False
1,2012-08-02,8.4,False
2,2012-08-03,12.0,False
3,2012-08-04,3.6,False
4,2012-08-05,0.0,False
5,2012-08-06,20.0,False
6,2012-08-07,17.2,False
7,2012-08-08,14.4,False
8,2012-08-09,11.600000000000001,False
9,2012-08-10,8.8,False
10,2012-08-11,14.0,False
11,2012-08-12,3.6,False
12,2012-08-13,40.0,False
13,2012-08-14,28.400000000000002,False
14,2012-08-15,17.6,False
15,2012-08-16,8.8,False
16,2012-08-17,9.200000000000001,False
17,2012-08-18,7.2,False
18,2012-08-19,7.2,False
19,2012-08-20,14.8,False
20,2012-08-21,11.600000000000001,False
21,2012-08-22,14.0,False
22,2012-08-23,14.4,False
23,2012-08-24,20.8,False
24,2012-08-25,0.0,False
25,2012-08-26,3.2,False
26,2012-08-27,10.8,False
27,2012-08-28,11.200000000000001,False
28,2012-08-29,2.8000000000000003,False
29,2012-08-30,8.4,False
30,2012-08-31,5.6000000000000005,False
0,2012-09-01,10.080000000000002,False
1,2012-09-02,5.040000000000001,False
2,2012-09-03,4.2,False
3,2012-09-04,14.000000000000002,False
4,2012-09-05,22.12,False
5,2012-09-06,16.520000000000003,False
6,2012-09-07,28.000000000000004,False
7,2012-09-08,9.8,False
8,2012-09-09,7.280000000000001,False
9,2012-09-10,7.840000000000001,False
10,2012-09-11,7.840000000000001,False
11,2012-09-12,15.96,False
12,2012-09-13,14.000000000000002,False
13,2012-09-14,18.76,False
14,2012-09-15,7.280000000000001,False
15,2012-09-16,7.280000000000001,False
16,2012-09-17,6.16,False
17,2012-09-18,13.72,False
18,2012-09-19,7.840000000000001,False
19,2012-09-20,20.160000000000004,False
20,2012-09-21,18.76,False
21,2012-09-22,9.520000000000001,False
22,2012-09-23,9.520000000000001,False
23,2012-09-24,17.64,False
24,2012-09-25,7.840000000000001,False
25,2012-09-26,12.040000000000001,False
26,2012-09-27,20.160000000000004,False
27,2012-09-28,16.8,False
28,2012-09-29,4.760000000000001,False
29,2012-09-30,4.760000000000001,False
0,2012-10-01,6.72,False
1,2012-10-02,16.8,False
2,2012-10-03,8.4,False
3,2012-10-04,11.76,False
4,2012-10-05,10.32,False
5,2012-10-06,6.0,False
6,2012-10-07,3.84,False
7,2012-10-08,12.959999999999999,False
8,2012-10-09,19.439999999999998,False
9,2012-10-10,14.639999999999999,False
10,2012-10-11,11.52,False
11,2012-10-12,13.92,False
12,2012-10-13,9.84,False
13,2012-10-14,7.68,False
14,2012-10-15,14.399999999999999,False
15,2012-10-16,24.0,False
16,2012-10-17,21.119999999999997,False
17,2012-10-18,16.32,False
18,2012-10-19,8.4,False
19,2012-10-20,0.0,False
20,2012-10-21,3.84,False
21,2012-10-22,12.959999999999999,False
22,2012-10-23,11.28,False
23,2012-10-24,8.16,False
24,2012-10-25,8.16,False
25,2012-10-26,12.24,False
26,2012-10-27,6.0,False
27,2012-10-28,0.0,False
28,2012-10-29,4.56,False
29,2012-10-30,4.8,False
30,2012-10-31,9.84,False
0,2012-11-01,5.88,False
1,2012-11-02,2.94,False
2,2012-11-03,3.36,False
3,2012-11-04,0.0,False
4,2012-11-05,13.44,False
5,2012-11-06,7.9799999999999995,False
6,2012-11-07,7.9799999999999995,False
7,2012-11-08,11.129999999999999,False
8,2012-11-09,5.67,False
9,2012-11-10,6.51,False
10,2012-11-11,0.0,False
11,2012-11-12,16.38,False
12,2012-11-13,5.46,False
13,2012-11-14,2.73,False
14,2012-11-15,11.129999999999999,False
15,2012-11-16,0.0,False
16,2012-11-17,3.15,False
17,2012-11-18,0.0,False
18,2012-11-19,7.9799999999999995,False
19,2012-11-20,5.25,False
20,2012-11-21,2.73,False
21,2012-11-22,8.4,False
22,2012-11-23,5.88,False
23,2012-11-24,3.15,False
24,2012-11-25,0.0,False
25,2012-11-26,13.229999999999999,False
26,2012-11-27,21.0,False
27,2012-11-28,13.229999999999999,False
28,2012-11-29,13.44,False
29,2012-11-30,8.4,False
0,2012-12-01,4.37,False
1,2012-12-02,4.37,False
2,2012-12-03,5.51,False
3,2012-12-04,12.73,False
4,2012-12-05,18.62,False
5,2012-12-06,7.6,False
6,2012-12-07,11.78,False
7,2012-12-08,4.5600000000000005,False
8,2012-12-09,13.11,False
9,2012-12-10,7.22,False
10,2012-12-11,9.120000000000001,False
11,2012-12-12,11.21,False
12,2012-12-13,5.7,False
13,2012-12-14,11.59,False
14,2012-12-15,0.0,False
15,2012-12-16,4.37,False
16,2012-12-17,18.43,False
17,2012-12-18,16.72,False
18,2012-12-19,19.0,False
19,2012-12-20,11.59,False
20,2012-12-21,6.08,False
21,2012-12-22,6.84,False
22,2012-12-23,4.75,False
23,2012-12-24,4.5600000000000005,False
24,2012-12-25,4.94,False
25,2012-12-26,6.2700000000000005,False
26,2012-12-27,7.98,False
27,2012-12-28,4.18,False
28,2012-12-29,6.84,False
29,2012-12-30,9.120000000000001,False
30,2012-12-31,9.120000000000001,False
0,2013-01-01,12.88,False
1,2013-01-02,25.480000000000004,False
2,2013-01-03,14.840000000000002,False
3,2013-01-04,28.000000000000004,False
4,2013-01-05,17.080000000000002,False
5,2013-01-06,11.48,False
6,2013-01-07,24.360000000000003,False
7,2013-01-08,19.32,False
8,2013-01-09,26.320000000000004,False
9,2013-01-10,14.280000000000001,False
10,2013-01-11,17.360000000000003,False
11,2013-01-12,11.200000000000001,False
12,2013-01-13,5.6000000000000005,False
13,2013-01-14,14.280000000000001,False
14,2013-01-15,18.76,False
15,2013-01-16,16.520000000000003,False
16,2013-01-17,23.8,False
17,2013-01-18,5.040000000000001,False
18,2013-01-19,14.000000000000002,False
19,2013-01-20,0.0,False
20,2013-01-21,9.24,False
21,2013-01-22,16.240000000000002,False
22,2013-01-23,19.040000000000003,False
23,2013-01-24,9.520000000000001,False
24,2013-01-25,14.840000000000002,False
25,2013-01-26,5.6000000000000005,False
26,2013-01-27,0.0,False
27,2013-01-28,18.48,False
