,date,MSFT stock,isPartial
18,2012-07-19,5.76,False
19,2012-07-20,8.0,False
20,2012-07-21,2.8000000000000003,False
21,2012-07-22,1.2,False
22,2012-07-23,3.12,False
23,2012-07-24,2.4,False
24,2012-07-25,5.12,False
25,2012-07-26,1.92,False
26,2012-07-27,2.96,False
27,2012-07-28,1.2,False
28,2012-07-29,1.76,False
29,2012-07-30,3.44,False
30,2012-07-31,2.16,False
0,2012-08-01,3.7100000000000004,False
1,2012-08-02,5.040000000000001,False
2,2012-08-03,3.6400000000000006,False
3,2012-08-04,3.7100000000000004,False
4,2012-08-05,1.8200000000000003,False
5,2012-08-06,3.9200000000000004,False
6,2012-08-07,6.370000000000001,False
7,2012-08-08,4.41,False
8,2012-08-09,3.0100000000000002,False
9,2012-08-10,3.6400000000000006,False
10,2012-08-11,3.6400000000000006,False
11,2012-08-12,4.62,False
12,2012-08-13,2.45,False
13,2012-08-14,5.390000000000001,False
14,2012-08-15,4.0600000000000005,False
15,2012-08-16,4.48,False
16,2012-08-17,6.790000000000001,False
17,2012-08-18,3.08,False
18,2012-08-19,1.8900000000000001,False
19,2012-08-20,5.32,False
20,2012-08-21,3.5000000000000004,False
21,2012-08-22,2.9400000000000004,False
22,2012-08-23,4.48,False
23,2012-08-24,2.5900000000000003,False
24,2012-08-25,4.48,False
25,2012-08-26,5.250000000000001,False
26,2012-08-27,2.3800000000000003,False
27,2012-08-28,5.670000000000001,False
28,2012-08-29,5.32,False
29,2012-08-30,3.43,False
30,2012-08-31,7.000000000000001,False
0,2012-09-01,3.8699999999999997,False
1,2012-09-02,1.89,False
2,2012-09-03,2.07,False
3,2012-09-04,8.19,False
4,2012-09-05,6.12,False
5,2012-09-06,4.68,False
6,2012-09-07,4.95,False
7,2012-09-08,5.67,False
8,2012-09-09,3.69,False
9,2012-09-10,3.51,False
10,2012-09-11,5.58,False
11,2012-09-12,5.49,False
12,2012-09-13,7.199999999999999,False
13,2012-09-14,3.15,False
14,2012-09-15,3.06,False
15,2012-09-16,3.69,False
16,2012-09-17,5.58,False
17,2012-09-18,9.0,False
18,2012-09-19,4.5,False
19,2012-09-20,6.66,False
20,2012-09-21,6.39,False
21,2012-09-22,4.32,False
22,2012-09-23,1.7999999999999998,False
23,2012-09-24,4.5,False
24,2012-09-25,5.49,False
25,2012-09-26,5.49,False
26,2012-09-27,7.6499999999999995,False
27,2012-09-28,7.47,False
28,2012-09-29,2.4299999999999997,False
29,2012-09-30,0.0,False
0,2012-10-01,6.0,False
1,2012-10-02,5.16,False
2,2012-10-03,5.279999999999999,False
3,2012-10-04,5.16,False
4,2012-10-05,5.76,False
5,2012-10-06,1.44,False
6,2012-10-07,1.44,False
7,2012-10-08,3.12,False
8,2012-10-09,3.12,False
9,2012-10-10,3.12,False
10,2012-10-11,3.12,False
11,2012-10-12,4.08,False
12,2012-10-13,2.88,False
13,2012-10-14,1.7999999999999998,False
14,2012-10-15,4.56,False
15,2012-10-16,4.56,False
16,2012-10-17,3.84,False
17,2012-10-18,12.0,False
18,2012-10-19,9.719999999999999,False
19,2012-10-20,3.2399999999999998,False
20,2012-10-21,5.52,False
21,2012-10-22,4.56,False
22,2012-10-23,6.359999999999999,False
23,2012-10-24,6.4799999999999995,False
24,2012-10-25,7.4399999999999995,False
25,2012-10-26,9.0,False
26,2012-10-27,5.64,False
27,2012-10-28,3.12,False
28,2012-10-29,3.36,False
29,2012-10-30,4.8,False
30,2012-10-31,7.8,False
0,2012-11-01,7.92,False
1,2012-11-02,5.61,False
2,2012-11-03,4.84,False
3,2012-11-04,1.32,False
4,2012-11-05,5.17,False
5,2012-11-06,7.37,False
6,2012-11-07,7.26,False
7,2012-11-08,6.38,False
8,2012-11-09,6.16,False
9,2012-11-10,3.52,False
10,2012-11-11,1.98,False
11,2012-11-12,4.62,False
12,2012-11-13,11.0,False
13,2012-11-14,4.62,False
14,2012-11-15,4.73,False
15,2012-11-16,9.57,False
16,2012-11-17,1.32,False
17,2012-11-18,1.32,False
18,2012-11-19,5.61,False
19,2012-11-20,3.96,False
20,2012-11-21,7.48,False
21,2012-11-22,2.42,False
22,2012-11-23,3.08,False
23,2012-11-24,2.09,False
24,2012-11-25,2.64,False
25,2012-11-26,8.25,False
26,2012-11-27,5.06,False
27,2012-11-28,5.06,False
28,2012-11-29,5.61,False
