,date,COST stock,isPartial
21,2012-06-22,18.549999999999997,False
22,2012-06-23,15.399999999999999,False
23,2012-06-24,23.099999999999998,False
24,2012-06-25,30.799999999999997,False
25,2012-06-26,35.0,False
26,2012-06-27,22.75,False
27,2012-06-28,27.65,False
28,2012-06-29,27.65,False
29,2012-06-30,16.45,False
0,2012-07-01,14.72,False
1,2012-07-02,23.04,False
2,2012-07-03,19.2,False
3,2012-07-04,15.68,False
4,2012-07-05,20.8,False
5,2012-07-06,22.72,False
6,2012-07-07,26.240000000000002,False
7,2012-07-08,22.080000000000002,False
8,2012-07-09,22.080000000000002,False
9,2012-07-10,21.44,False
10,2012-07-11,12.8,False
11,2012-07-12,22.72,False
12,2012-07-13,29.76,False
13,2012-07-14,16.0,False
14,2012-07-15,16.64,False
15,2012-07-16,32.0,False
16,2012-07-17,24.32,False
17,2012-07-18,22.400000000000002,False
18,2012-07-19,24.32,False
19,2012-07-20,18.88,False
20,2012-07-21,14.08,False
21,2012-07-22,20.8,False
22,2012-07-23,26.240000000000002,False
23,2012-07-24,21.12,False
24,2012-07-25,23.36,False
25,2012-07-26,21.44,False
26,2012-07-27,28.48,False
27,2012-07-28,15.040000000000001,False
28,2012-07-29,24.64,False
29,2012-07-30,17.92,False
30,2012-07-31,29.76,False
0,2012-08-01,28.439999999999998,False
1,2012-08-02,36.0,False
2,2012-08-03,28.439999999999998,False
3,2012-08-04,17.64,False
4,2012-08-05,20.52,False
5,2012-08-06,23.4,False
6,2012-08-07,24.48,False
7,2012-08-08,24.84,False
8,2012-08-09,34.56,False
9,2012-08-10,23.4,False
10,2012-08-11,16.2,False
11,2012-08-12,30.599999999999998,False
12,2012-08-13,25.919999999999998,False
13,2012-08-14,24.84,False
14,2012-08-15,20.88,False
15,2012-08-16,29.88,False
16,2012-08-17,22.32,False
17,2012-08-18,20.52,False
18,2012-08-19,20.88,False
19,2012-08-20,23.04,False
20,2012-08-21,34.56,False
21,2012-08-22,25.919999999999998,False
22,2012-08-23,35.64,False
23,2012-08-24,32.04,False
24,2012-08-25,21.24,False
25,2012-08-26,16.56,False
26,2012-08-27,28.439999999999998,False
27,2012-08-28,30.599999999999998,False
28,2012-08-29,23.04,False
29,2012-08-30,19.8,False
30,2012-08-31,29.52,False
0,2012-09-01,11.84,False
1,2012-09-02,12.95,False
2,2012-09-03,14.8,False
3,2012-09-04,16.28,False
4,2012-09-05,31.45,False
5,2012-09-06,22.2,False
6,2012-09-07,29.6,False
7,2012-09-08,11.84,False
8,2012-09-09,8.14,False
9,2012-09-10,37.0,False
10,2012-09-11,28.12,False
11,2012-09-12,30.71,False
12,2012-09-13,31.45,False
13,2012-09-14,30.71,False
14,2012-09-15,16.28,False
15,2012-09-16,25.16,False
16,2012-09-17,25.53,False
17,2012-09-18,25.9,False
18,2012-09-19,20.72,False
19,2012-09-20,21.09,False
20,2012-09-21,20.72,False
21,2012-09-22,11.47,False
22,2012-09-23,21.09,False
23,2012-09-24,30.71,False
24,2012-09-25,27.75,False
25,2012-09-26,30.71,False
26,2012-09-27,28.49,False
27,2012-09-28,20.72,False
28,2012-09-29,15.91,False
29,2012-09-30,17.759999999999998,False
0,2012-10-01,32.8,False
1,2012-10-02,29.52,False
2,2012-10-03,32.39,False
3,2012-10-04,29.93,False
4,2012-10-05,23.369999999999997,False
5,2012-10-06,21.32,False
6,2012-10-07,17.22,False
7,2012-10-08,33.21,False
8,2012-10-09,32.39,False
9,2012-10-10,28.7,False
10,2012-10-11,28.29,False
11,2012-10-12,23.779999999999998,False
12,2012-10-13,22.959999999999997,False
13,2012-10-14,23.779999999999998,False
14,2012-10-15,27.88,False
15,2012-10-16,37.72,False
16,2012-10-17,29.11,False
17,2012-10-18,28.29,False
18,2012-10-19,32.39,False
19,2012-10-20,27.88,False
20,2012-10-21,26.24,False
21,2012-10-22,26.65,False
22,2012-10-23,41.0,False
23,2012-10-24,25.009999999999998,False
24,2012-10-25,38.129999999999995,False
25,2012-10-26,25.009999999999998,False
26,2012-10-27,20.09,False
27,2012-10-28,17.63,False
28,2012-10-29,19.27,False
29,2012-10-30,35.26,False
30,2012-10-31,24.599999999999998,False
0,2012-11-01,15.54,False
1,2012-11-02,17.02,False
2,2012-11-03,15.54,False
3,2012-11-04,19.24,False
4,2012-11-05,15.17,False
5,2012-11-06,18.5,False
6,2012-11-07,15.17,False
7,2012-11-08,31.45,False
8,2012-11-09,18.13,False
9,2012-11-10,14.43,False
10,2012-11-11,18.13,False
11,2012-11-12,22.57,False
12,2012-11-13,20.72,False
13,2012-11-14,28.86,False
14,2012-11-15,35.519999999999996,False
15,2012-11-16,17.02,False
16,2012-11-17,14.43,False
17,2012-11-18,20.35,False
18,2012-11-19,29.23,False
19,2012-11-20,31.45,False
20,2012-11-21,18.13,False
21,2012-11-22,17.02,False
22,2012-11-23,14.43,False
23,2012-11-24,23.68,False
24,2012-11-25,29.23,False
25,2012-11-26,17.39,False
26,2012-11-27,28.49,False
27,2012-11-28,37.0,False
28,2012-11-29,25.53,False
29,2012-11-30,24.05,False
0,2012-12-01,19.76,False
1,2012-12-02,19.38,False
2,2012-12-03,32.68,False
3,2012-12-04,28.88,False
4,2012-12-05,32.68,False
5,2012-12-06,38.0,False
6,2012-12-07,28.88,False
7,2012-12-08,23.94,False
8,2012-12-09,24.32,False
9,2012-12-10,24.32,False
10,2012-12-11,27.36,False
11,2012-12-12,24.7,False
12,2012-12-13,25.080000000000002,False
13,2012-12-14,17.1,False
14,2012-12-15,13.68,False
15,2012-12-16,19.38,False
16,2012-12-17,33.82,False
17,2012-12-18,22.04,False
18,2012-12-19,18.240000000000002,False
19,2012-12-20,22.04,False
20,2012-12-21,16.72,False
21,2012-12-22,19.0,False
22,2012-12-23,11.02,False
23,2012-12-24,17.1,False
24,2012-12-25,9.5,False
25,2012-12-26,20.52,False
26,2012-12-27,20.52,False
27,2012-12-28,13.3,False
28,2012-12-29,12.540000000000001,False
