,date,CTSH stock,isPartial
24,2012-06-25,0.0,False
25,2012-06-26,3.2800000000000002,False
26,2012-06-27,0.0,False
27,2012-06-28,3.36,False
28,2012-06-29,0.0,False
29,2012-06-30,0.0,False
0,2012-07-01,0.0,False
1,2012-07-02,0.0,False
2,2012-07-03,2.4,False
3,2012-07-04,2.52,False
4,2012-07-05,0.0,False
5,2012-07-06,2.55,False
6,2012-07-07,0.0,False
7,2012-07-08,0.0,False
8,2012-07-09,0.0,False
9,2012-07-10,2.4,False
10,2012-07-11,2.4299999999999997,False
11,2012-07-12,2.46,False
12,2012-07-13,2.55,False
13,2012-07-14,0.0,False
14,2012-07-15,0.0,False
15,2012-07-16,0.0,False
16,2012-07-17,2.4,False
17,2012-07-18,0.0,False
18,2012-07-19,0.0,False
19,2012-07-20,0.0,False
20,2012-07-21,0.0,False
21,2012-07-22,0.0,False
22,2012-07-23,0.0,False
23,2012-07-24,2.46,False
24,2012-07-25,0.0,False
25,2012-07-26,2.46,False
26,2012-07-27,0.0,False
27,2012-07-28,0.0,False
28,2012-07-29,3.0,False
29,2012-07-30,0.0,False
30,2012-07-31,0.0,False
0,2012-08-01,0.0,False
1,2012-08-02,0.0,False
2,2012-08-03,0.0,False
3,2012-08-04,0.0,False
4,2012-08-05,0.0,False
5,2012-08-06,3.9000000000000004,False
6,2012-08-07,3.9000000000000004,False
7,2012-08-08,0.0,False
8,2012-08-09,0.0,False
9,2012-08-10,0.0,False
10,2012-08-11,0.0,False
11,2012-08-12,0.0,False
12,2012-08-13,0.0,False
13,2012-08-14,0.0,False
14,2012-08-15,0.0,False
15,2012-08-16,3.95,False
16,2012-08-17,0.0,False
17,2012-08-18,0.0,False
18,2012-08-19,5.0,False
19,2012-08-20,0.0,False
20,2012-08-21,3.95,False
21,2012-08-22,0.0,False
22,2012-08-23,0.0,False
23,2012-08-24,0.0,False
24,2012-08-25,0.0,False
25,2012-08-26,0.0,False
26,2012-08-27,3.8000000000000003,False
27,2012-08-28,3.75,False
28,2012-08-29,0.0,False
29,2012-08-30,0.0,False
30,2012-08-31,0.0,False
0,2012-09-01,0.0,False
1,2012-09-02,0.0,False
2,2012-09-03,1.53,False
3,2012-09-04,2.9699999999999998,False
4,2012-09-05,0.0,False
5,2012-09-06,1.5,False
6,2012-09-07,0.0,False
7,2012-09-08,0.0,False
8,2012-09-09,0.0,False
9,2012-09-10,1.47,False
10,2012-09-11,0.0,False
11,2012-09-12,0.0,False
12,2012-09-13,3.0,False
13,2012-09-14,1.56,False
14,2012-09-15,0.0,False
15,2012-09-16,0.0,False
16,2012-09-17,0.0,False
17,2012-09-18,0.0,False
18,2012-09-19,0.0,False
19,2012-09-20,1.47,False
20,2012-09-21,0.0,False
21,2012-09-22,0.0,False
22,2012-09-23,0.0,False
23,2012-09-24,0.0,False
24,2012-09-25,0.0,False
25,2012-09-26,1.44,False
26,2012-09-27,1.47,False
27,2012-09-28,1.56,False
28,2012-09-29,0.0,False
29,2012-09-30,0.0,False
0,2012-10-01,0.0,False
1,2012-10-02,0.0,False
2,2012-10-03,0.0,False
3,2012-10-04,0.0,False
4,2012-10-05,0.0,False
5,2012-10-06,0.0,False
6,2012-10-07,0.0,False
7,2012-10-08,0.0,False
8,2012-10-09,0.0,False
9,2012-10-10,0.98,False
10,2012-10-11,2.0,False
11,2012-10-12,0.0,False
12,2012-10-13,0.0,False
13,2012-10-14,0.0,False
14,2012-10-15,0.0,False
15,2012-10-16,0.0,False
16,2012-10-17,0.0,False
17,2012-10-18,0.0,False
