,date,HAS stock,isPartial
26,2012-06-27,12.0,False
27,2012-06-28,19.8,False
28,2012-06-29,21.599999999999998,False
29,2012-06-30,19.8,False
0,2012-07-01,16.74,False
1,2012-07-02,20.46,False
2,2012-07-03,22.63,False
3,2012-07-04,12.709999999999999,False
4,2012-07-05,11.78,False
5,2012-07-06,18.29,False
6,2012-07-07,14.26,False
7,2012-07-08,21.39,False
8,2012-07-09,14.26,False
9,2012-07-10,26.04,False
10,2012-07-11,16.12,False
11,2012-07-12,20.77,False
12,2012-07-13,19.84,False
13,2012-07-14,11.47,False
14,2012-07-15,31.0,False
15,2012-07-16,27.28,False
16,2012-07-17,12.709999999999999,False
17,2012-07-18,13.64,False
18,2012-07-19,19.22,False
19,2012-07-20,17.669999999999998,False
20,2012-07-21,14.26,False
21,2012-07-22,20.15,False
22,2012-07-23,22.94,False
23,2012-07-24,19.84,False
24,2012-07-25,14.57,False
25,2012-07-26,24.8,False
26,2012-07-27,21.7,False
27,2012-07-28,17.98,False
28,2012-07-29,20.46,False
29,2012-07-30,21.08,False
30,2012-07-31,23.25,False
0,2012-08-01,11.1,False
1,2012-08-02,21.599999999999998,False
2,2012-08-03,23.4,False
3,2012-08-04,16.5,False
4,2012-08-05,22.2,False
5,2012-08-06,21.9,False
6,2012-08-07,17.099999999999998,False
7,2012-08-08,17.4,False
8,2012-08-09,12.0,False
9,2012-08-10,20.7,False
10,2012-08-11,14.7,False
11,2012-08-12,17.4,False
12,2012-08-13,15.6,False
13,2012-08-14,18.0,False
14,2012-08-15,17.099999999999998,False
15,2012-08-16,27.9,False
16,2012-08-17,15.899999999999999,False
17,2012-08-18,16.8,False
18,2012-08-19,8.1,False
19,2012-08-20,20.099999999999998,False
20,2012-08-21,24.599999999999998,False
21,2012-08-22,25.8,False
22,2012-08-23,29.4,False
23,2012-08-24,16.5,False
24,2012-08-25,19.8,False
25,2012-08-26,15.899999999999999,False
26,2012-08-27,12.9,False
27,2012-08-28,24.0,False
28,2012-08-29,30.0,False
29,2012-08-30,20.099999999999998,False
30,2012-08-31,17.4,False
0,2012-09-01,18.48,False
1,2012-09-02,19.36,False
2,2012-09-03,19.8,False
3,2012-09-04,15.84,False
4,2012-09-05,32.56,False
5,2012-09-06,22.44,False
6,2012-09-07,22.88,False
7,2012-09-08,14.08,False
8,2012-09-09,18.04,False
9,2012-09-10,24.2,False
10,2012-09-11,24.2,False
11,2012-09-12,31.24,False
12,2012-09-13,30.36,False
13,2012-09-14,20.68,False
14,2012-09-15,19.36,False
15,2012-09-16,31.68,False
16,2012-09-17,44.0,False
17,2012-09-18,36.96,False
18,2012-09-19,23.76,False
19,2012-09-20,28.6,False
20,2012-09-21,31.68,False
21,2012-09-22,29.48,False
22,2012-09-23,34.76,False
23,2012-09-24,37.4,False
24,2012-09-25,27.72,False
25,2012-09-26,35.2,False
26,2012-09-27,19.8,False
27,2012-09-28,24.2,False
28,2012-09-29,29.04,False
29,2012-09-30,32.12,False
0,2012-10-01,46.529999999999994,False
1,2012-10-02,41.36,False
2,2012-10-03,30.549999999999997,False
3,2012-10-04,36.19,False
4,2012-10-05,31.02,False
5,2012-10-06,31.959999999999997,False
6,2012-10-07,47.0,False
7,2012-10-08,37.129999999999995,False
8,2012-10-09,26.79,False
9,2012-10-10,42.3,False
10,2012-10-11,36.66,False
11,2012-10-12,31.02,False
12,2012-10-13,23.029999999999998,False
13,2012-10-14,23.5,False
14,2012-10-15,34.309999999999995,False
15,2012-10-16,43.71,False
16,2012-10-17,31.02,False
17,2012-10-18,31.49,False
18,2012-10-19,28.2,False
19,2012-10-20,28.669999999999998,False
20,2012-10-21,26.32,False
21,2012-10-22,27.729999999999997,False
22,2012-10-23,38.07,False
23,2012-10-24,34.309999999999995,False
24,2012-10-25,31.959999999999997,False
25,2012-10-26,30.08,False
26,2012-10-27,30.08,False
27,2012-10-28,29.61,False
28,2012-10-29,44.18,False
29,2012-10-30,29.61,False
30,2012-10-31,41.36,False
0,2012-11-01,31.02,False
1,2012-11-02,37.129999999999995,False
2,2012-11-03,28.669999999999998,False
3,2012-11-04,35.25,False
4,2012-11-05,31.959999999999997,False
5,2012-11-06,36.19,False
6,2012-11-07,43.71,False
7,2012-11-08,39.949999999999996,False
8,2012-11-09,35.25,False
9,2012-11-10,19.27,False
10,2012-11-11,22.09,False
11,2012-11-12,30.549999999999997,False
12,2012-11-13,34.78,False
13,2012-11-14,38.54,False
14,2012-11-15,32.9,False
15,2012-11-16,31.49,False
16,2012-11-17,22.09,False
17,2012-11-18,31.49,False
18,2012-11-19,43.71,False
19,2012-11-20,36.19,False
20,2012-11-21,21.619999999999997,False
21,2012-11-22,16.45,False
22,2012-11-23,23.97,False
23,2012-11-24,27.259999999999998,False
24,2012-11-25,40.419999999999995,False
25,2012-11-26,37.599999999999994,False
26,2012-11-27,47.0,False
27,2012-11-28,31.49,False
28,2012-11-29,29.139999999999997,False
29,2012-11-30,26.32,False
0,2012-12-01,23.5,False
1,2012-12-02,30.549999999999997,False
2,2012-12-03,35.25,False
3,2012-12-04,35.72,False
4,2012-12-05,41.36,False
5,2012-12-06,34.309999999999995,False
6,2012-12-07,34.309999999999995,False
7,2012-12-08,27.259999999999998,False
8,2012-12-09,28.669999999999998,False
9,2012-12-10,47.0,False
10,2012-12-11,30.549999999999997,False
11,2012-12-12,24.91,False
12,2012-12-13,29.61,False
13,2012-12-14,27.259999999999998,False
14,2012-12-15,32.43,False
15,2012-12-16,23.97,False
16,2012-12-17,36.66,False
17,2012-12-18,34.309999999999995,False
18,2012-12-19,31.02,False
19,2012-12-20,33.37,False
20,2012-12-21,37.129999999999995,False
21,2012-12-22,38.07,False
22,2012-12-23,27.729999999999997,False
23,2012-12-24,23.029999999999998,False
24,2012-12-25,15.979999999999999,False
25,2012-12-26,21.15,False
26,2012-12-27,16.45,False
27,2012-12-28,28.669999999999998,False
28,2012-12-29,21.619999999999997,False
29,2012-12-30,15.04,False
30,2012-12-31,24.439999999999998,False
0,2013-01-01,19.35,False
1,2013-01-02,20.64,False
2,2013-01-03,21.5,False
3,2013-01-04,28.81,False
4,2013-01-05,25.8,False
5,2013-01-06,14.62,False
6,2013-01-07,17.63,False
7,2013-01-08,30.099999999999998,False
8,2013-01-09,37.839999999999996,False
9,2013-01-10,30.099999999999998,False
10,2013-01-11,26.66,False
11,2013-01-12,24.08,False
12,2013-01-13,22.36,False
13,2013-01-14,29.669999999999998,False
14,2013-01-15,39.99,False
15,2013-01-16,38.7,False
16,2013-01-17,32.68,False
17,2013-01-18,21.07,False
18,2013-01-19,28.38,False
19,2013-01-20,24.94,False
20,2013-01-21,24.08,False
21,2013-01-22,30.96,False
22,2013-01-23,21.93,False
23,2013-01-24,38.7,False
24,2013-01-25,30.53,False
25,2013-01-26,38.269999999999996,False
26,2013-01-27,29.669999999999998,False
27,2013-01-28,43.0,False
28,2013-01-29,35.69,False
29,2013-01-30,30.96,False
30,2013-01-31,31.39,False
0,2013-02-01,46.0,False
1,2013-02-02,25.3,False
2,2013-02-03,29.44,False
3,2013-02-04,33.120000000000005,False
4,2013-02-05,32.660000000000004,False
5,2013-02-06,40.02,False
6,2013-02-07,39.1,False
7,2013-02-08,26.220000000000002,False
8,2013-02-09,34.04,False
9,2013-02-10,35.42,False
10,2013-02-11,39.56,False
11,2013-02-12,34.96,False
12,2013-02-13,33.120000000000005,False
13,2013-02-14,32.660000000000004,False
14,2013-02-15,28.060000000000002,False
15,2013-02-16,34.96,False
16,2013-02-17,23.46,False
17,2013-02-18,32.660000000000004,False
18,2013-02-19,37.72,False
19,2013-02-20,38.18,False
20,2013-02-21,32.660000000000004,False
21,2013-02-22,33.120000000000005,False
22,2013-02-23,29.44,False
23,2013-02-24,23.92,False
24,2013-02-25,45.080000000000005,False
25,2013-02-26,39.56,False
26,2013-02-27,37.72,False
27,2013-02-28,34.5,False
0,2013-03-01,42.72,False
1,2013-03-02,28.32,False
2,2013-03-03,32.64,False
3,2013-03-04,36.48,False
4,2013-03-05,40.32,False
5,2013-03-06,40.8,False
6,2013-03-07,41.28,False
7,2013-03-08,30.24,False
8,2013-03-09,24.48,False
9,2013-03-10,28.32,False
10,2013-03-11,29.279999999999998,False
11,2013-03-12,39.36,False
12,2013-03-13,41.28,False
13,2013-03-14,41.28,False
14,2013-03-15,33.12,False
15,2013-03-16,18.24,False
16,2013-03-17,28.32,False
17,2013-03-18,35.519999999999996,False
18,2013-03-19,40.8,False
19,2013-03-20,45.6,False
20,2013-03-21,36.96,False
21,2013-03-22,36.48,False
22,2013-03-23,43.68,False
23,2013-03-24,36.96,False
24,2013-03-25,35.04,False
25,2013-03-26,36.0,False
26,2013-03-27,48.0,False
27,2013-03-28,36.48,False
28,2013-03-29,34.08,False
29,2013-03-30,33.6,False
30,2013-03-31,25.919999999999998,False
0,2013-04-01,33.32,False
1,2013-04-02,37.73,False
2,2013-04-03,31.849999999999998,False
3,2013-04-04,32.83,False
4,2013-04-05,34.3,False
5,2013-04-06,33.32,False
6,2013-04-07,35.28,False
7,2013-04-08,39.2,False
8,2013-04-09,32.339999999999996,False
9,2013-04-10,34.79,False
10,2013-04-11,36.26,False
11,2013-04-12,31.36,False
12,2013-04-13,25.97,False
13,2013-04-14,35.769999999999996,False
14,2013-04-15,43.12,False
15,2013-04-16,46.06,False
16,2013-04-17,36.75,False
17,2013-04-18,35.28,False
18,2013-04-19,43.12,False
19,2013-04-20,29.4,False
20,2013-04-21,39.2,False
21,2013-04-22,40.67,False
22,2013-04-23,34.79,False
23,2013-04-24,45.57,False
24,2013-04-25,40.18,False
25,2013-04-26,35.28,False
26,2013-04-27,24.5,False
27,2013-04-28,18.62,False
28,2013-04-29,34.79,False
29,2013-04-30,49.0,False
0,2013-05-01,30.34,False
1,2013-05-02,40.589999999999996,False
2,2013-05-03,41.0,False
3,2013-05-04,28.29,False
4,2013-05-05,16.4,False
5,2013-05-06,33.62,False
6,2013-05-07,29.52,False
7,2013-05-08,35.669999999999995,False
8,2013-05-09,37.72,False
9,2013-05-10,39.769999999999996,False
10,2013-05-11,25.419999999999998,False
11,2013-05-12,36.9,False
12,2013-05-13,24.189999999999998,False
13,2013-05-14,28.29,False
14,2013-05-15,27.06,False
15,2013-05-16,31.979999999999997,False
16,2013-05-17,21.73,False
17,2013-05-18,23.779999999999998,False
18,2013-05-19,22.549999999999997,False
19,2013-05-20,34.03,False
20,2013-05-21,35.26,False
21,2013-05-22,26.24,False
22,2013-05-23,31.569999999999997,False
23,2013-05-24,29.93,False
24,2013-05-25,18.45,False
25,2013-05-26,35.669999999999995,False
26,2013-05-27,23.369999999999997,False
27,2013-05-28,36.489999999999995,False
28,2013-05-29,23.369999999999997,False
29,2013-05-30,29.93,False
30,2013-05-31,26.65,False
0,2013-06-01,18.549999999999997,False
1,2013-06-02,21.349999999999998,False
2,2013-06-03,32.199999999999996,False
3,2013-06-04,24.15,False
4,2013-06-05,16.799999999999997,False
5,2013-06-06,25.9,False
