,date,SBUX stock,isPartial
27,2012-06-28,4.64,False
28,2012-06-29,4.96,False
29,2012-06-30,0.0,False
0,2012-07-01,0.0,False
1,2012-07-02,4.5600000000000005,False
2,2012-07-03,0.0,False
3,2012-07-04,4.5600000000000005,False
4,2012-07-05,4.5600000000000005,False
5,2012-07-06,9.31,False
6,2012-07-07,0.0,False
7,2012-07-08,5.51,False
8,2012-07-09,6.65,False
9,2012-07-10,4.37,False
10,2012-07-11,6.84,False
11,2012-07-12,11.4,False
12,2012-07-13,4.75,False
13,2012-07-14,0.0,False
14,2012-07-15,11.02,False
15,2012-07-16,4.37,False
16,2012-07-17,0.0,False
17,2012-07-18,6.65,False
18,2012-07-19,9.120000000000001,False
19,2012-07-20,7.03,False
20,2012-07-21,5.7,False
21,2012-07-22,11.4,False
22,2012-07-23,9.120000000000001,False
23,2012-07-24,4.5600000000000005,False
24,2012-07-25,15.96,False
25,2012-07-26,4.5600000000000005,False
26,2012-07-27,19.0,False
27,2012-07-28,11.21,False
28,2012-07-29,0.0,False
29,2012-07-30,11.21,False
30,2012-07-31,15.58,False
0,2012-08-01,18.05,False
1,2012-08-02,13.68,False
2,2012-08-03,10.64,False
3,2012-08-04,8.36,False
4,2012-08-05,8.36,False
5,2012-08-06,6.65,False
6,2012-08-07,8.93,False
7,2012-08-08,11.21,False
8,2012-08-09,9.120000000000001,False
9,2012-08-10,11.78,False
10,2012-08-11,8.36,False
11,2012-08-12,8.17,False
12,2012-08-13,17.86,False
13,2012-08-14,16.72,False
14,2012-08-15,13.870000000000001,False
15,2012-08-16,6.84,False
16,2012-08-17,19.0,False
17,2012-08-18,8.36,False
18,2012-08-19,0.0,False
19,2012-08-20,16.15,False
20,2012-08-21,15.77,False
21,2012-08-22,10.07,False
22,2012-08-23,0.0,False
23,2012-08-24,14.06,False
24,2012-08-25,8.17,False
25,2012-08-26,7.98,False
26,2012-08-27,17.29,False
27,2012-08-28,6.46,False
28,2012-08-29,17.48,False
29,2012-08-30,11.02,False
30,2012-08-31,13.68,False
0,2012-09-01,8.64,False
1,2012-09-02,0.0,False
2,2012-09-03,4.64,False
3,2012-09-04,11.52,False
4,2012-09-05,4.64,False
5,2012-09-06,6.24,False
6,2012-09-07,8.16,False
7,2012-09-08,5.6000000000000005,False
8,2012-09-09,0.0,False
9,2012-09-10,11.36,False
10,2012-09-11,4.48,False
11,2012-09-12,8.96,False
12,2012-09-13,16.0,False
13,2012-09-14,4.8,False
14,2012-09-15,5.6000000000000005,False
15,2012-09-16,5.44,False
16,2012-09-17,13.76,False
17,2012-09-18,12.0,False
18,2012-09-19,7.5200000000000005,False
19,2012-09-20,7.68,False
20,2012-09-21,9.6,False
21,2012-09-22,0.0,False
22,2012-09-23,10.88,False
23,2012-09-24,10.4,False
24,2012-09-25,6.72,False
25,2012-09-26,4.48,False
26,2012-09-27,9.120000000000001,False
27,2012-09-28,9.6,False
28,2012-09-29,0.0,False
29,2012-09-30,0.0,False
0,2012-10-01,15.3,False
1,2012-10-02,5.1000000000000005,False
2,2012-10-03,8.67,False
3,2012-10-04,5.1000000000000005,False
4,2012-10-05,10.540000000000001,False
5,2012-10-06,6.12,False
6,2012-10-07,5.95,False
7,2012-10-08,7.48,False
8,2012-10-09,14.790000000000001,False
9,2012-10-10,13.260000000000002,False
10,2012-10-11,10.030000000000001,False
11,2012-10-12,7.99,False
12,2012-10-13,6.12,False
13,2012-10-14,5.78,False
