,date,ATVI stock,isPartial
19,2012-06-20,0.0,False
20,2012-06-21,1.6,False
21,2012-06-22,1.7000000000000002,False
22,2012-06-23,0.0,False
23,2012-06-24,0.0,False
24,2012-06-25,0.0,False
25,2012-06-26,0.0,False
26,2012-06-27,1.6,False
27,2012-06-28,1.6,False
28,2012-06-29,1.7000000000000002,False
29,2012-06-30,0.0,False
0,2012-07-01,0.0,False
1,2012-07-02,0.0,False
2,2012-07-03,2.35,False
3,2012-07-04,0.0,False
4,2012-07-05,3.6500000000000004,False
5,2012-07-06,2.5,False
6,2012-07-07,0.0,False
7,2012-07-08,2.9000000000000004,False
8,2012-07-09,0.0,False
9,2012-07-10,2.35,False
10,2012-07-11,2.4000000000000004,False
11,2012-07-12,3.6,False
12,2012-07-13,5.0,False
13,2012-07-14,2.95,False
14,2012-07-15,2.9000000000000004,False
15,2012-07-16,0.0,False
16,2012-07-17,2.35,False
17,2012-07-18,2.35,False
18,2012-07-19,2.45,False
19,2012-07-20,0.0,False
20,2012-07-21,0.0,False
21,2012-07-22,3.0,False
22,2012-07-23,0.0,False
23,2012-07-24,0.0,False
24,2012-07-25,0.0,False
25,2012-07-26,0.0,False
26,2012-07-27,2.5500000000000003,False
27,2012-07-28,0.0,False
28,2012-07-29,0.0,False
29,2012-07-30,2.4000000000000004,False
30,2012-07-31,0.0,False
0,2012-08-01,3.5000000000000004,False
1,2012-08-02,3.5700000000000003,False
2,2012-08-03,3.7100000000000004,False
3,2012-08-04,4.340000000000001,False
4,2012-08-05,0.0,False
5,2012-08-06,3.5000000000000004,False
6,2012-08-07,5.250000000000001,False
7,2012-08-08,0.0,False
8,2012-08-09,4.69,False
9,2012-08-10,0.0,False
10,2012-08-11,4.340000000000001,False
11,2012-08-12,4.340000000000001,False
12,2012-08-13,3.5000000000000004,False
13,2012-08-14,7.000000000000001,False
14,2012-08-15,3.6400000000000006,False
15,2012-08-16,5.32,False
16,2012-08-17,3.7100000000000004,False
17,2012-08-18,0.0,False
18,2012-08-19,0.0,False
19,2012-08-20,5.390000000000001,False
20,2012-08-21,5.250000000000001,False
21,2012-08-22,3.5000000000000004,False
22,2012-08-23,3.5000000000000004,False
23,2012-08-24,0.0,False
24,2012-08-25,0.0,False
25,2012-08-26,0.0,False
26,2012-08-27,0.0,False
27,2012-08-28,3.3600000000000003,False
28,2012-08-29,0.0,False
29,2012-08-30,3.43,False
30,2012-08-31,0.0,False
0,2012-09-01,0.0,False
1,2012-09-02,0.0,False
2,2012-09-03,0.0,False
3,2012-09-04,2.0500000000000003,False
4,2012-09-05,2.0500000000000003,False
5,2012-09-06,0.0,False
6,2012-09-07,2.25,False
7,2012-09-08,0.0,False
8,2012-09-09,0.0,False
9,2012-09-10,0.0,False
10,2012-09-11,4.05,False
11,2012-09-12,0.0,False
12,2012-09-13,4.1000000000000005,False
13,2012-09-14,0.0,False
14,2012-09-15,0.0,False
15,2012-09-16,5.0,False
16,2012-09-17,0.0,False
17,2012-09-18,2.0,False
18,2012-09-19,0.0,False
19,2012-09-20,0.0,False
20,2012-09-21,2.15,False
21,2012-09-22,2.5,False
22,2012-09-23,0.0,False
23,2012-09-24,2.0500000000000003,False
24,2012-09-25,0.0,False
25,2012-09-26,4.05,False
26,2012-09-27,2.0500000000000003,False
27,2012-09-28,2.15,False
28,2012-09-29,0.0,False
29,2012-09-30,0.0,False
0,2012-10-01,1.36,False
1,2012-10-02,1.36,False
2,2012-10-03,1.36,False
3,2012-10-04,1.36,False
4,2012-10-05,1.36,False
5,2012-10-06,0.0,False
6,2012-10-07,1.56,False
7,2012-10-08,1.96,False
8,2012-10-09,0.0,False
9,2012-10-10,0.0,False
10,2012-10-11,2.0,False
11,2012-10-12,0.0,False
12,2012-10-13,0.0,False
13,2012-10-14,0.0,False
14,2012-10-15,1.32,False
15,2012-10-16,0.0,False
16,2012-10-17,0.0,False
17,2012-10-18,1.32,False
18,2012-10-19,1.36,False
19,2012-10-20,0.0,False
20,2012-10-21,0.0,False
21,2012-10-22,1.28,False
22,2012-10-23,1.28,False
23,2012-10-24,1.32,False
24,2012-10-25,4.0,False
25,2012-10-26,1.4000000000000001,False
26,2012-10-27,0.0,False
27,2012-10-28,1.52,False
28,2012-10-29,1.24,False
29,2012-10-30,1.8800000000000001,False
30,2012-10-31,1.32,False
0,2012-11-01,6.39,False
