,date,SIRI stock,isPartial
26,2012-06-27,10.56,False
27,2012-06-28,9.68,False
28,2012-06-29,12.1,False
29,2012-06-30,3.52,False
0,2012-07-01,3.84,False
1,2012-07-02,12.719999999999999,False
2,2012-07-03,21.36,False
3,2012-07-04,15.12,False
4,2012-07-05,6.72,False
5,2012-07-06,22.56,False
6,2012-07-07,7.92,False
7,2012-07-08,7.92,False
8,2012-07-09,17.04,False
9,2012-07-10,18.96,False
10,2012-07-11,13.92,False
11,2012-07-12,8.64,False
12,2012-07-13,13.44,False
13,2012-07-14,10.08,False
14,2012-07-15,4.08,False
15,2012-07-16,9.6,False
16,2012-07-17,21.36,False
17,2012-07-18,8.64,False
18,2012-07-19,11.04,False
19,2012-07-20,13.68,False
20,2012-07-21,8.16,False
21,2012-07-22,8.16,False
22,2012-07-23,12.959999999999999,False
23,2012-07-24,9.84,False
24,2012-07-25,17.52,False
25,2012-07-26,12.0,False
26,2012-07-27,24.0,False
27,2012-07-28,9.36,False
28,2012-07-29,6.72,False
29,2012-07-30,23.52,False
30,2012-07-31,14.879999999999999,False
0,2012-08-01,15.17,False
1,2012-08-02,22.94,False
2,2012-08-03,17.39,False
3,2012-08-04,8.879999999999999,False
4,2012-08-05,8.879999999999999,False
5,2012-08-06,12.95,False
6,2012-08-07,32.56,False
7,2012-08-08,30.71,False
8,2012-08-09,34.41,False
9,2012-08-10,23.31,False
10,2012-08-11,14.43,False
11,2012-08-12,5.92,False
12,2012-08-13,21.09,False
13,2012-08-14,16.28,False
14,2012-08-15,25.53,False
15,2012-08-16,37.0,False
16,2012-08-17,33.67,False
17,2012-08-18,11.84,False
18,2012-08-19,11.84,False
19,2012-08-20,21.83,False
20,2012-08-21,28.49,False
21,2012-08-22,30.34,False
22,2012-08-23,23.68,False
23,2012-08-24,15.91,False
24,2012-08-25,29.97,False
25,2012-08-26,12.58,False
26,2012-08-27,20.35,False
27,2012-08-28,14.8,False
28,2012-08-29,20.72,False
29,2012-08-30,14.06,False
30,2012-08-31,15.54,False
0,2012-09-01,11.760000000000002,False
1,2012-09-02,6.44,False
2,2012-09-03,4.48,False
3,2012-09-04,14.560000000000002,False
4,2012-09-05,13.72,False
5,2012-09-06,16.240000000000002,False
6,2012-09-07,19.32,False
7,2012-09-08,6.44,False
8,2012-09-09,3.9200000000000004,False
9,2012-09-10,19.880000000000003,False
10,2012-09-11,10.360000000000001,False
11,2012-09-12,28.000000000000004,False
12,2012-09-13,22.12,False
13,2012-09-14,19.880000000000003,False
14,2012-09-15,5.040000000000001,False
15,2012-09-16,6.44,False
16,2012-09-17,10.360000000000001,False
17,2012-09-18,19.6,False
18,2012-09-19,15.680000000000001,False
19,2012-09-20,16.8,False
20,2012-09-21,27.44,False
21,2012-09-22,7.5600000000000005,False
22,2012-09-23,9.8,False
23,2012-09-24,23.520000000000003,False
24,2012-09-25,20.44,False
25,2012-09-26,11.200000000000001,False
26,2012-09-27,26.320000000000004,False
27,2012-09-28,19.6,False
28,2012-09-29,14.000000000000002,False
29,2012-09-30,7.5600000000000005,False
0,2012-10-01,14.43,False
1,2012-10-02,23.68,False
2,2012-10-03,25.53,False
3,2012-10-04,24.79,False
4,2012-10-05,14.43,False
5,2012-10-06,5.55,False
6,2012-10-07,5.55,False
7,2012-10-08,18.5,False
8,2012-10-09,27.38,False
9,2012-10-10,13.69,False
10,2012-10-11,26.27,False
11,2012-10-12,27.75,False
12,2012-10-13,7.4,False
13,2012-10-14,3.7,False
14,2012-10-15,21.09,False
15,2012-10-16,34.78,False
16,2012-10-17,18.13,False
17,2012-10-18,32.19,False
18,2012-10-19,37.0,False
19,2012-10-20,9.25,False
20,2012-10-21,7.4,False
21,2012-10-22,21.09,False
22,2012-10-23,21.09,False
23,2012-10-24,28.86,False
24,2012-10-25,31.08,False
25,2012-10-26,19.61,False
26,2012-10-27,7.4,False
27,2012-10-28,7.03,False
28,2012-10-29,4.4399999999999995,False
29,2012-10-30,7.4,False
30,2012-10-31,17.02,False
0,2012-11-01,23.56,False
1,2012-11-02,25.419999999999998,False
2,2012-11-03,9.92,False
3,2012-11-04,6.51,False
4,2012-11-05,10.85,False
5,2012-11-06,27.28,False
6,2012-11-07,20.15,False
7,2012-11-08,23.56,False
8,2012-11-09,16.12,False
9,2012-11-10,11.78,False
10,2012-11-11,6.51,False
11,2012-11-12,16.43,False
12,2012-11-13,20.77,False
13,2012-11-14,5.58,False
14,2012-11-15,15.5,False
15,2012-11-16,10.23,False
16,2012-11-17,4.96,False
17,2012-11-18,6.51,False
18,2012-11-19,18.91,False
19,2012-11-20,16.12,False
20,2012-11-21,16.74,False
21,2012-11-22,2.79,False
22,2012-11-23,14.57,False
23,2012-11-24,9.92,False
24,2012-11-25,4.65,False
25,2012-11-26,15.81,False
26,2012-11-27,18.6,False
27,2012-11-28,22.63,False
28,2012-11-29,31.0,False
29,2012-11-30,22.63,False
0,2012-12-01,8.99,False
1,2012-12-02,11.47,False
2,2012-12-03,21.39,False
3,2012-12-04,15.81,False
4,2012-12-05,21.39,False
5,2012-12-06,25.11,False
6,2012-12-07,24.8,False
7,2012-12-08,7.75,False
8,2012-12-09,5.58,False
9,2012-12-10,22.01,False
10,2012-12-11,14.879999999999999,False
11,2012-12-12,20.46,False
12,2012-12-13,20.77,False
13,2012-12-14,20.15,False
14,2012-12-15,11.47,False
15,2012-12-16,8.99,False
16,2012-12-17,25.73,False
17,2012-12-18,30.38,False
18,2012-12-19,31.0,False
19,2012-12-20,20.15,False
20,2012-12-21,29.45,False
21,2012-12-22,20.15,False
22,2012-12-23,8.37,False
23,2012-12-24,14.879999999999999,False
24,2012-12-25,9.92,False
25,2012-12-26,24.49,False
26,2012-12-27,26.66,False
27,2012-12-28,18.91,False
28,2012-12-29,10.54,False
29,2012-12-30,9.3,False
30,2012-12-31,19.84,False
0,2013-01-01,10.25,False
1,2013-01-02,34.44,False
2,2013-01-03,38.129999999999995,False
3,2013-01-04,34.85,False
4,2013-01-05,10.66,False
5,2013-01-06,15.989999999999998,False
6,2013-01-07,38.129999999999995,False
7,2013-01-08,38.949999999999996,False
8,2013-01-09,36.489999999999995,False
9,2013-01-10,29.11,False
10,2013-01-11,35.669999999999995,False
11,2013-01-12,20.91,False
12,2013-01-13,7.789999999999999,False
13,2013-01-14,29.93,False
14,2013-01-15,28.29,False
15,2013-01-16,26.24,False
16,2013-01-17,25.419999999999998,False
17,2013-01-18,35.26,False
18,2013-01-19,9.02,False
19,2013-01-20,11.479999999999999,False
20,2013-01-21,11.889999999999999,False
21,2013-01-22,21.73,False
22,2013-01-23,26.24,False
23,2013-01-24,41.0,False
24,2013-01-25,17.22,False
25,2013-01-26,18.04,False
26,2013-01-27,7.789999999999999,False
27,2013-01-28,34.44,False
28,2013-01-29,36.489999999999995,False
29,2013-01-30,27.88,False
30,2013-01-31,17.63,False
0,2013-02-01,35.0,False
1,2013-02-02,11.2,False
2,2013-02-03,9.45,False
3,2013-02-04,35.0,False
4,2013-02-05,28.7,False
5,2013-02-06,32.9,False
6,2013-02-07,25.9,False
7,2013-02-08,24.5,False
8,2013-02-09,9.799999999999999,False
9,2013-02-10,11.549999999999999,False
10,2013-02-11,19.599999999999998,False
11,2013-02-12,19.599999999999998,False
12,2013-02-13,21.349999999999998,False
13,2013-02-14,24.15,False
14,2013-02-15,26.95,False
15,2013-02-16,7.699999999999999,False
16,2013-02-17,7.35,False
17,2013-02-18,14.7,False
18,2013-02-19,17.849999999999998,False
19,2013-02-20,19.95,False
20,2013-02-21,22.4,False
21,2013-02-22,18.549999999999997,False
22,2013-02-23,11.2,False
23,2013-02-24,5.6,False
24,2013-02-25,24.5,False
25,2013-02-26,23.799999999999997,False
26,2013-02-27,18.9,False
27,2013-02-28,24.5,False
0,2013-03-01,16.74,False
1,2013-03-02,8.06,False
2,2013-03-03,4.65,False
3,2013-03-04,19.84,False
4,2013-03-05,31.0,False
5,2013-03-06,22.63,False
6,2013-03-07,21.7,False
7,2013-03-08,19.53,False
8,2013-03-09,11.16,False
9,2013-03-10,6.2,False
10,2013-03-11,22.63,False
11,2013-03-12,11.78,False
12,2013-03-13,23.25,False
13,2013-03-14,21.39,False
14,2013-03-15,19.22,False
15,2013-03-16,4.65,False
16,2013-03-17,9.3,False
17,2013-03-18,15.81,False
18,2013-03-19,11.78,False
19,2013-03-20,21.39,False
20,2013-03-21,21.39,False
21,2013-03-22,15.19,False
22,2013-03-23,7.75,False
23,2013-03-24,3.1,False
24,2013-03-25,11.78,False
25,2013-03-26,14.57,False
26,2013-03-27,16.43,False
27,2013-03-28,12.709999999999999,False
28,2013-03-29,10.54,False
29,2013-03-30,8.06,False
30,2013-03-31,6.51,False
0,2013-04-01,5.67,False
1,2013-04-02,11.610000000000001,False
2,2013-04-03,12.690000000000001,False
3,2013-04-04,12.690000000000001,False
4,2013-04-05,15.39,False
5,2013-04-06,8.91,False
6,2013-04-07,0.0,False
7,2013-04-08,10.530000000000001,False
8,2013-04-09,10.530000000000001,False
9,2013-04-10,14.850000000000001,False
10,2013-04-11,14.850000000000001,False
11,2013-04-12,9.99,False
12,2013-04-13,2.7,False
13,2013-04-14,2.43,False
14,2013-04-15,9.450000000000001,False
15,2013-04-16,17.01,False
16,2013-04-17,20.25,False
17,2013-04-18,12.96,False
18,2013-04-19,9.99,False
19,2013-04-20,2.43,False
20,2013-04-21,2.43,False
21,2013-04-22,8.370000000000001,False
22,2013-04-23,8.370000000000001,False
23,2013-04-24,14.040000000000001,False
24,2013-04-25,6.48,False
25,2013-04-26,8.91,False
26,2013-04-27,2.43,False
27,2013-04-28,2.43,False
28,2013-04-29,10.530000000000001,False
29,2013-04-30,27.0,False
0,2013-05-01,37.0,False
1,2013-05-02,34.41,False
2,2013-05-03,28.86,False
3,2013-05-04,7.03,False
4,2013-05-05,8.14,False
5,2013-05-06,20.35,False
6,2013-05-07,17.39,False
7,2013-05-08,23.31,False
8,2013-05-09,22.2,False
9,2013-05-10,16.28,False
10,2013-05-11,9.25,False
11,2013-05-12,5.18,False
12,2013-05-13,9.62,False
13,2013-05-14,26.64,False
14,2013-05-15,32.56,False
15,2013-05-16,21.09,False
16,2013-05-17,30.34,False
17,2013-05-18,5.92,False
18,2013-05-19,4.81,False
19,2013-05-20,21.09,False
20,2013-05-21,27.009999999999998,False
21,2013-05-22,23.68,False
22,2013-05-23,24.05,False
23,2013-05-24,22.2,False
24,2013-05-25,15.54,False
25,2013-05-26,7.03,False
26,2013-05-27,8.879999999999999,False
27,2013-05-28,26.27,False
28,2013-05-29,25.16,False
29,2013-05-30,19.24,False
30,2013-05-31,19.24,False
0,2013-06-01,10.729999999999999,False
1,2013-06-02,7.249999999999999,False
2,2013-06-03,16.82,False
3,2013-06-04,23.779999999999998,False
4,2013-06-05,26.97,False
5,2013-06-06,22.33,False
6,2013-06-07,24.069999999999997,False
7,2013-06-08,12.76,False
8,2013-06-09,7.249999999999999,False
9,2013-06-10,25.52,False
10,2013-06-11,20.299999999999997,False
11,2013-06-12,20.88,False
12,2013-06-13,24.069999999999997,False
13,2013-06-14,25.52,False
14,2013-06-15,11.02,False
15,2013-06-16,6.09,False
16,2013-06-17,15.95,False
17,2013-06-18,28.999999999999996,False
18,2013-06-19,23.779999999999998,False
19,2013-06-20,16.24,False
20,2013-06-21,25.81,False
21,2013-06-22,6.09,False
22,2013-06-23,4.93,False
23,2013-06-24,17.11,False
24,2013-06-25,17.98,False
25,2013-06-26,17.11,False
26,2013-06-27,25.229999999999997,False
27,2013-06-28,23.2,False
28,2013-06-29,12.469999999999999,False
29,2013-06-30,9.28,False
0,2013-07-01,25.6,False
1,2013-07-02,14.4,False
2,2013-07-03,18.0,False
3,2013-07-04,12.0,False
4,2013-07-05,18.400000000000002,False
5,2013-07-06,8.4,False
6,2013-07-07,14.8,False
7,2013-07-08,21.200000000000003,False
8,2013-07-09,24.8,False
9,2013-07-10,31.6,False
10,2013-07-11,29.6,False
11,2013-07-12,34.4,False
12,2013-07-13,15.200000000000001,False
13,2013-07-14,6.800000000000001,False
14,2013-07-15,27.200000000000003,False
15,2013-07-16,27.200000000000003,False
16,2013-07-17,24.0,False
17,2013-07-18,23.200000000000003,False
18,2013-07-19,35.6,False
19,2013-07-20,11.200000000000001,False
20,2013-07-21,8.4,False
21,2013-07-22,26.0,False
22,2013-07-23,40.0,False
23,2013-07-24,31.6,False
24,2013-07-25,31.200000000000003,False
25,2013-07-26,29.6,False
26,2013-07-27,8.4,False
27,2013-07-28,9.600000000000001,False
28,2013-07-29,22.400000000000002,False
29,2013-07-30,25.6,False
30,2013-07-31,23.6,False
0,2013-08-01,22.11,False
1,2013-08-02,21.78,False
2,2013-08-03,6.930000000000001,False
3,2013-08-04,8.25,False
4,2013-08-05,13.860000000000001,False
5,2013-08-06,16.5,False
6,2013-08-07,16.5,False
7,2013-08-08,24.09,False
8,2013-08-09,15.84,False
9,2013-08-10,10.23,False
10,2013-08-11,3.3000000000000003,False
11,2013-08-12,17.490000000000002,False
12,2013-08-13,21.78,False
13,2013-08-14,33.0,False
14,2013-08-15,24.42,False
15,2013-08-16,23.1,False
16,2013-08-17,8.25,False
17,2013-08-18,4.95,False
18,2013-08-19,12.21,False
19,2013-08-20,21.45,False
20,2013-08-21,21.45,False
21,2013-08-22,9.57,False
22,2013-08-23,19.8,False
23,2013-08-24,8.25,False
24,2013-08-25,6.2700000000000005,False
25,2013-08-26,21.12,False
26,2013-08-27,15.510000000000002,False
27,2013-08-28,15.510000000000002,False
28,2013-08-29,15.84,False
