,date,DIS stock,isPartial
16,2012-07-17,4.9,False
17,2012-07-18,1.25,False
18,2012-07-19,2.5500000000000003,False
19,2012-07-20,0.0,False
20,2012-07-21,1.6,False
21,2012-07-22,3.1,False
22,2012-07-23,2.45,False
23,2012-07-24,1.85,False
24,2012-07-25,0.0,False
25,2012-07-26,1.25,False
26,2012-07-27,1.3,False
27,2012-07-28,0.0,False
28,2012-07-29,0.0,False
29,2012-07-30,1.2000000000000002,False
30,2012-07-31,1.25,False
0,2012-08-01,2.0,False
1,2012-08-02,0.0,False
2,2012-08-03,0.0,False
3,2012-08-04,0.0,False
4,2012-08-05,2.4,False
5,2012-08-06,2.0,False
6,2012-08-07,3.92,False
7,2012-08-08,5.84,False
8,2012-08-09,8.0,False
9,2012-08-10,0.0,False
10,2012-08-11,0.0,False
11,2012-08-12,0.0,False
12,2012-08-13,2.0,False
13,2012-08-14,5.84,False
14,2012-08-15,0.0,False
15,2012-08-16,0.0,False
16,2012-08-17,4.16,False
17,2012-08-18,0.0,False
18,2012-08-19,2.48,False
19,2012-08-20,0.0,False
20,2012-08-21,0.0,False
21,2012-08-22,0.0,False
22,2012-08-23,2.0,False
23,2012-08-24,0.0,False
24,2012-08-25,2.4,False
25,2012-08-26,0.0,False
26,2012-08-27,1.92,False
27,2012-08-28,5.68,False
28,2012-08-29,0.0,False
29,2012-08-30,2.0,False
30,2012-08-31,2.0,False
0,2012-09-01,0.0,False
1,2012-09-02,0.0,False
2,2012-09-03,0.0,False
3,2012-09-04,2.4,False
4,2012-09-05,3.2399999999999998,False
5,2012-09-06,4.92,False
6,2012-09-07,6.0,False
7,2012-09-08,5.9399999999999995,False
8,2012-09-09,0.0,False
9,2012-09-10,1.56,False
10,2012-09-11,2.4,False
11,2012-09-12,1.6199999999999999,False
12,2012-09-13,3.2399999999999998,False
13,2012-09-14,4.9799999999999995,False
14,2012-09-15,0.0,False
15,2012-09-16,1.92,False
16,2012-09-17,2.4,False
17,2012-09-18,4.68,False
18,2012-09-19,1.56,False
19,2012-09-20,4.02,False
20,2012-09-21,3.36,False
21,2012-09-22,3.84,False
22,2012-09-23,0.0,False
23,2012-09-24,1.56,False
24,2012-09-25,3.12,False
25,2012-09-26,1.56,False
26,2012-09-27,4.8,False
