"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 25, 2018","221.54","224.50","225.14","220.39","3.82M","-1.98%"
"Jun 22, 2018","226.02","227.78","230.50","225.58","2.89M","-0.42%"
"Jun 21, 2018","226.98","226.39","228.43","224.57","3.09M","-0.37%"
"Jun 20, 2018","227.82","229.92","229.94","226.96","2.68M","-0.22%"
"Jun 19, 2018","228.32","228.22","229.04","226.16","3.33M","-1.33%"
"Jun 18, 2018","231.39","230.20","231.67","229.15","2.33M","-0.23%"
"Jun 15, 2018","231.92","231.50","233.15","229.84","4.74M","-0.74%"
"Jun 14, 2018","233.65","235.87","235.89","232.59","2.90M","-0.08%"
"Jun 13, 2018","233.83","233.65","238.23","233.10","3.64M","0.52%"
"Jun 12, 2018","232.63","234.12","235.23","231.86","2.08M","-0.62%"
"Jun 11, 2018","234.09","234.62","235.16","233.59","1.94M","0.30%"
"Jun 08, 2018","233.39","233.00","234.27","232.35","2.25M","-0.03%"
"Jun 07, 2018","233.45","233.89","235.92","232.54","2.90M","0.53%"
"Jun 06, 2018","232.23","229.85","232.58","229.36","2.57M","1.70%"
"Jun 05, 2018","228.34","228.94","229.34","227.29","1.99M","-0.67%"
"Jun 04, 2018","229.89","230.35","231.15","228.95","2.13M","0.67%"
"Jun 01, 2018","228.35","228.40","230.25","228.09","3.33M","1.09%"
"May 31, 2018","225.88","227.34","228.11","224.09","5.33M","-1.43%"
"May 30, 2018","229.16","228.94","229.67","226.28","3.35M","0.94%"
"May 29, 2018","227.03","231.52","232.47","225.02","5.32M","-3.40%"
"May 25, 2018","235.01","235.00","236.12","234.28","1.99M","-0.46%"
"May 24, 2018","236.10","236.60","237.17","233.65","2.31M","-0.72%"
"May 23, 2018","237.81","236.88","237.87","234.38","3.11M","-0.08%"
"May 22, 2018","238.00","238.70","240.70","237.98","2.55M","0.13%"
"May 21, 2018","237.70","239.10","240.07","237.32","1.95M","0.30%"
"May 18, 2018","237.00","238.10","238.74","236.87","2.70M","-0.88%"
"May 17, 2018","239.10","240.42","242.44","238.78","2.46M","-0.77%"
"May 16, 2018","240.96","241.27","241.84","240.59","1.97M","-0.25%"
"May 15, 2018","241.56","243.00","243.95","240.67","2.17M","-0.96%"
"May 14, 2018","243.91","243.60","245.88","243.50","1.93M","0.41%"
"May 11, 2018","242.92","243.44","244.91","241.71","1.54M","-0.21%"
"May 10, 2018","243.44","242.11","245.42","240.16","2.60M","0.71%"
"May 09, 2018","241.73","237.98","242.05","237.25","2.43M","2.00%"
"May 08, 2018","237.00","238.24","240.66","236.00","3.27M","-0.08%"
"May 07, 2018","237.20","236.00","238.17","235.28","1.98M","0.96%"
"May 04, 2018","234.94","232.31","236.79","232.28","2.62M","0.66%"
"May 03, 2018","233.41","232.45","234.00","227.40","4.51M","-0.27%"
"May 02, 2018","234.05","236.60","237.91","233.42","3.71M","-1.11%"
"May 01, 2018","236.67","237.51","237.90","233.96","3.27M","-0.70%"
"Apr 30, 2018","238.33","240.97","243.07","238.22","2.79M","-0.61%"
"Apr 27, 2018","239.80","240.00","241.93","239.02","2.14M","-0.12%"
"Apr 26, 2018","240.09","239.27","241.66","238.01","2.89M","0.36%"
"Apr 25, 2018","239.23","242.19","242.46","237.51","5.04M","-1.34%"
"Apr 24, 2018","242.49","248.82","249.15","240.04","4.71M","-1.69%"
"Apr 23, 2018","246.67","251.66","252.75","246.19","3.78M","-2.10%"
"Apr 20, 2018","251.96","254.10","255.68","251.48","2.93M","-0.87%"
"Apr 19, 2018","254.17","254.00","256.16","252.83","3.99M","0.07%"
"Apr 18, 2018","254.00","254.90","257.02","252.25","4.52M","0.15%"
"Apr 17, 2018","253.63","261.60","262.25","252.34","10.13M","-1.65%"
"Apr 16, 2018","257.88","257.13","260.66","256.66","3.26M","0.77%"
"Apr 13, 2018","255.92","261.94","262.50","254.54","3.03M","-1.41%"
"Apr 12, 2018","259.59","256.27","260.73","255.11","3.06M","2.63%"
"Apr 11, 2018","252.94","252.59","254.83","249.79","3.32M","-1.41%"
"Apr 10, 2018","256.57","257.96","259.89","255.95","3.31M","1.74%"
"Apr 09, 2018","252.19","251.48","257.50","249.17","3.26M","0.89%"
"Apr 06, 2018","249.97","251.48","255.34","246.68","3.62M","-2.28%"
"Apr 05, 2018","255.81","254.50","258.00","253.40","1.92M","1.26%"
"Apr 04, 2018","252.62","245.71","253.22","244.51","2.85M","0.81%"
"Apr 03, 2018","250.58","248.61","250.89","245.90","2.49M","1.31%"
"Apr 02, 2018","247.35","251.26","252.60","243.77","3.43M","-1.79%"
"Mar 29, 2018","251.86","250.79","252.98","248.33","3.07M","1.00%"
"Mar 28, 2018","249.37","248.78","251.23","244.37","2.66M","0.85%"
"Mar 27, 2018","247.26","255.89","257.06","245.61","2.98M","-2.99%"
"Mar 26, 2018","254.88","250.65","255.36","248.45","3.79M","3.92%"
"Mar 23, 2018","245.26","253.63","254.95","244.93","3.63M","-2.91%"
"Mar 22, 2018","252.60","258.42","260.82","252.18","4.49M","-3.53%"
"Mar 21, 2018","261.85","263.01","266.49","260.31","2.82M","-0.51%"
"Mar 20, 2018","263.19","263.29","264.64","261.89","1.51M","0.25%"
"Mar 19, 2018","262.53","266.99","267.50","259.47","2.43M","-1.89%"
"Mar 16, 2018","267.60","266.01","269.85","265.33","4.11M","0.37%"
"Mar 15, 2018","266.61","265.72","269.00","265.35","2.26M","0.82%"
"Mar 14, 2018","264.43","270.40","270.78","263.91","2.48M","-1.53%"
"Mar 13, 2018","268.53","274.34","275.03","267.44","2.29M","-1.77%"
"Mar 12, 2018","273.38","271.00","275.31","270.77","3.07M","0.96%"
"Mar 09, 2018","270.77","268.70","271.09","267.04","4.41M","1.66%"
"Mar 08, 2018","266.34","266.48","268.10","262.63","2.57M","0.37%"
"Mar 07, 2018","265.35","262.69","266.43","260.95","2.51M","-0.59%"
"Mar 06, 2018","266.93","264.77","267.87","263.21","2.22M","1.45%"
