,date,BA stock,isPartial
24,2012-07-25,1.28,False
25,2012-07-26,0.84,False
26,2012-07-27,1.06,False
27,2012-07-28,0.9400000000000001,False
28,2012-07-29,0.62,False
29,2012-07-30,0.8200000000000001,False
30,2012-07-31,1.0,False
0,2012-08-01,0.5,False
1,2012-08-02,1.98,False
2,2012-08-03,1.04,False
3,2012-08-04,1.24,False
4,2012-08-05,0.6,False
5,2012-08-06,0.48,False
6,2012-08-07,0.98,False
7,2012-08-08,0.5,False
8,2012-08-09,2.0,False
9,2012-08-10,1.3,False
10,2012-08-11,1.22,False
11,2012-08-12,0.0,False
12,2012-08-13,1.0,False
13,2012-08-14,0.74,False
14,2012-08-15,0.5,False
15,2012-08-16,0.5,False
16,2012-08-17,0.52,False
17,2012-08-18,1.24,False
18,2012-08-19,0.62,False
19,2012-08-20,1.52,False
20,2012-08-21,0.5,False
21,2012-08-22,0.0,False
22,2012-08-23,1.0,False
23,2012-08-24,0.78,False
24,2012-08-25,0.6,False
25,2012-08-26,1.16,False
26,2012-08-27,0.72,False
27,2012-08-28,0.72,False
28,2012-08-29,0.96,False
29,2012-08-30,0.98,False
30,2012-08-31,1.24,False
0,2012-09-01,1.42,False
1,2012-09-02,0.0,False
2,2012-09-03,0.88,False
3,2012-09-04,0.86,False
4,2012-09-05,0.56,False
5,2012-09-06,1.16,False
6,2012-09-07,0.6,False
7,2012-09-08,0.0,False
8,2012-09-09,0.0,False
9,2012-09-10,0.84,False
10,2012-09-11,0.56,False
11,2012-09-12,0.84,False
12,2012-09-13,2.0,False
13,2012-09-14,0.88,False
14,2012-09-15,0.0,False
15,2012-09-16,0.0,False
16,2012-09-17,0.0,False
17,2012-09-18,1.68,False
18,2012-09-19,1.12,False
19,2012-09-20,1.42,False
20,2012-09-21,0.88,False
21,2012-09-22,0.68,False
22,2012-09-23,1.0,False
23,2012-09-24,0.56,False
24,2012-09-25,1.3800000000000001,False
25,2012-09-26,1.12,False
26,2012-09-27,0.0,False
27,2012-09-28,0.6,False
28,2012-09-29,0.0,False
29,2012-09-30,0.66,False
0,2012-10-01,1.02,False
1,2012-10-02,0.76,False
2,2012-10-03,1.04,False
3,2012-10-04,0.68,False
4,2012-10-05,0.8,False
5,2012-10-06,1.22,False
6,2012-10-07,0.9,False
7,2012-10-08,2.0,False
8,2012-10-09,1.82,False
9,2012-10-10,0.66,False
10,2012-10-11,1.52,False
11,2012-10-12,1.58,False
12,2012-10-13,0.6,False
13,2012-10-14,0.58,False
14,2012-10-15,1.24,False
15,2012-10-16,1.48,False
16,2012-10-17,0.5,False
17,2012-10-18,1.0,False
18,2012-10-19,1.04,False
19,2012-10-20,0.6,False
20,2012-10-21,0.58,False
21,2012-10-22,1.48,False
22,2012-10-23,1.3,False
23,2012-10-24,1.98,False
24,2012-10-25,0.68,False
25,2012-10-26,0.52,False
26,2012-10-27,1.52,False
27,2012-10-28,0.0,False
28,2012-10-29,0.64,False
29,2012-10-30,0.48,False
30,2012-10-31,0.84,False
0,2012-11-01,1.05,False
1,2012-11-02,0.54,False
2,2012-11-03,0.8999999999999999,False
3,2012-11-04,0.6,False
4,2012-11-05,0.48,False
5,2012-11-06,1.47,False
6,2012-11-07,1.2,False
7,2012-11-08,1.26,False
8,2012-11-09,0.54,False
9,2012-11-10,0.6,False
10,2012-11-11,1.17,False
11,2012-11-12,3.0,False
12,2012-11-13,0.51,False
13,2012-11-14,1.5,False
14,2012-11-15,1.02,False
15,2012-11-16,1.56,False
16,2012-11-17,1.17,False
17,2012-11-18,0.57,False
18,2012-11-19,1.98,False
19,2012-11-20,0.99,False
20,2012-11-21,0.51,False
21,2012-11-22,0.51,False
22,2012-11-23,1.05,False
23,2012-11-24,0.6,False
24,2012-11-25,0.0,False
25,2012-11-26,0.48,False
26,2012-11-27,0.72,False
27,2012-11-28,1.44,False
28,2012-11-29,0.48,False
29,2012-11-30,1.02,False
0,2012-12-01,0.7000000000000001,False
1,2012-12-02,0.0,False
2,2012-12-03,0.76,False
3,2012-12-04,1.52,False
4,2012-12-05,0.96,False
5,2012-12-06,1.48,False
6,2012-12-07,0.8200000000000001,False
7,2012-12-08,1.06,False
8,2012-12-09,0.66,False
9,2012-12-10,2.0,False
10,2012-12-11,1.16,False
11,2012-12-12,1.16,False
12,2012-12-13,0.58,False
13,2012-12-14,1.2,False
14,2012-12-15,1.04,False
15,2012-12-16,0.68,False
16,2012-12-17,1.34,False
17,2012-12-18,0.58,False
18,2012-12-19,0.6,False
19,2012-12-20,1.0,False
20,2012-12-21,1.28,False
21,2012-12-22,1.08,False
22,2012-12-23,0.74,False
23,2012-12-24,1.46,False
24,2012-12-25,0.78,False
25,2012-12-26,0.66,False
26,2012-12-27,1.6600000000000001,False
27,2012-12-28,0.96,False
28,2012-12-29,1.4000000000000001,False
29,2012-12-30,0.72,False
30,2012-12-31,0.96,False
0,2013-01-01,0.76,False
1,2013-01-02,1.44,False
2,2013-01-03,1.2,False
3,2013-01-04,0.36,False
4,2013-01-05,0.4,False
5,2013-01-06,0.52,False
6,2013-01-07,0.68,False
7,2013-01-08,0.88,False
8,2013-01-09,1.32,False
9,2013-01-10,1.36,False
10,2013-01-11,1.04,False
11,2013-01-12,0.4,False
12,2013-01-13,0.76,False
13,2013-01-14,1.08,False
14,2013-01-15,0.56,False
15,2013-01-16,2.96,False
16,2013-01-17,4.0,False
17,2013-01-18,1.16,False
18,2013-01-19,0.96,False
19,2013-01-20,0.76,False
20,2013-01-21,0.96,False
21,2013-01-22,1.4000000000000001,False
22,2013-01-23,1.2,False
23,2013-01-24,0.76,False
24,2013-01-25,1.16,False
25,2013-01-26,0.4,False
26,2013-01-27,0.4,False
27,2013-01-28,0.52,False
28,2013-01-29,0.64,False
29,2013-01-30,2.48,False
30,2013-01-31,0.76,False
0,2013-02-01,1.23,False
1,2013-02-02,0.9299999999999999,False
2,2013-02-03,0.69,False
3,2013-02-04,1.74,False
4,2013-02-05,1.74,False
5,2013-02-06,1.3499999999999999,False
6,2013-02-07,2.16,False
7,2013-02-08,1.41,False
8,2013-02-09,0.69,False
9,2013-02-10,1.05,False
10,2013-02-11,1.17,False
11,2013-02-12,0.99,False
12,2013-02-13,0.57,False
13,2013-02-14,1.7999999999999998,False
14,2013-02-15,0.9299999999999999,False
15,2013-02-16,0.69,False
16,2013-02-17,1.3499999999999999,False
17,2013-02-18,1.14,False
18,2013-02-19,1.3499999999999999,False
19,2013-02-20,1.3499999999999999,False
20,2013-02-21,1.3499999999999999,False
21,2013-02-22,1.41,False
22,2013-02-23,1.5899999999999999,False
23,2013-02-24,0.6599999999999999,False
24,2013-02-25,0.9299999999999999,False
25,2013-02-26,3.0,False
26,2013-02-27,1.71,False
27,2013-02-28,1.74,False
0,2013-03-01,1.3199999999999998,False
1,2013-03-02,2.6399999999999997,False
2,2013-03-03,1.14,False
3,2013-03-04,2.31,False
4,2013-03-05,1.26,False
5,2013-03-06,2.31,False
6,2013-03-07,3.0,False
7,2013-03-08,2.6399999999999997,False
8,2013-03-09,0.75,False
9,2013-03-10,1.47,False
10,2013-03-11,1.8599999999999999,False
11,2013-03-12,2.46,False
12,2013-03-13,2.25,False
13,2013-03-14,1.68,False
14,2013-03-15,1.29,False
15,2013-03-16,1.1099999999999999,False
16,2013-03-17,0.72,False
17,2013-03-18,2.9099999999999997,False
18,2013-03-19,1.65,False
19,2013-03-20,2.73,False
20,2013-03-21,2.34,False
21,2013-03-22,0.99,False
22,2013-03-23,1.74,False
23,2013-03-24,0.75,False
24,2013-03-25,2.28,False
25,2013-03-26,2.52,False
26,2013-03-27,1.74,False
27,2013-03-28,2.2199999999999998,False
28,2013-03-29,1.44,False
29,2013-03-30,1.29,False
30,2013-03-31,0.8099999999999999,False
0,2013-04-01,1.23,False
1,2013-04-02,1.53,False
2,2013-04-03,1.74,False
3,2013-04-04,0.96,False
4,2013-04-05,1.41,False
5,2013-04-06,1.05,False
6,2013-04-07,1.14,False
7,2013-04-08,1.71,False
8,2013-04-09,2.1,False
9,2013-04-10,1.92,False
10,2013-04-11,2.52,False
11,2013-04-12,1.53,False
12,2013-04-13,1.17,False
13,2013-04-14,0.69,False
14,2013-04-15,0.96,False
15,2013-04-16,1.74,False
16,2013-04-17,1.17,False
17,2013-04-18,0.99,False
18,2013-04-19,1.2,False
19,2013-04-20,2.1,False
20,2013-04-21,0.69,False
21,2013-04-22,1.74,False
22,2013-04-23,1.53,False
23,2013-04-24,2.94,False
24,2013-04-25,3.0,False
25,2013-04-26,1.8299999999999998,False
26,2013-04-27,1.38,False
27,2013-04-28,1.41,False
28,2013-04-29,1.92,False
29,2013-04-30,1.77,False
0,2013-05-01,1.6,False
1,2013-05-02,1.52,False
2,2013-05-03,2.32,False
3,2013-05-04,0.92,False
4,2013-05-05,0.0,False
5,2013-05-06,2.24,False
6,2013-05-07,2.2,False
7,2013-05-08,2.6,False
8,2013-05-09,1.16,False
9,2013-05-10,1.56,False
10,2013-05-11,1.8,False
11,2013-05-12,2.64,False
12,2013-05-13,1.44,False
13,2013-05-14,4.0,False
14,2013-05-15,0.72,False
15,2013-05-16,1.12,False
16,2013-05-17,1.56,False
17,2013-05-18,1.8,False
18,2013-05-19,2.2,False
19,2013-05-20,3.3200000000000003,False
20,2013-05-21,1.44,False
21,2013-05-22,2.92,False
22,2013-05-23,2.92,False
23,2013-05-24,2.32,False
24,2013-05-25,2.64,False
25,2013-05-26,0.88,False
26,2013-05-27,0.76,False
27,2013-05-28,3.2,False
28,2013-05-29,3.24,False
29,2013-05-30,2.6,False
30,2013-05-31,1.56,False
0,2013-06-01,1.84,False
1,2013-06-02,0.6,False
2,2013-06-03,2.0,False
3,2013-06-04,1.28,False
4,2013-06-05,2.0,False
5,2013-06-06,2.04,False
6,2013-06-07,0.8,False
7,2013-06-08,0.92,False
8,2013-06-09,0.6,False
9,2013-06-10,1.24,False
10,2013-06-11,2.72,False
11,2013-06-12,2.04,False
12,2013-06-13,1.8,False
13,2013-06-14,1.6,False
14,2013-06-15,0.64,False
15,2013-06-16,0.64,False
16,2013-06-17,1.52,False
17,2013-06-18,2.04,False
18,2013-06-19,2.56,False
19,2013-06-20,1.8,False
20,2013-06-21,2.72,False
21,2013-06-22,0.92,False
22,2013-06-23,0.6,False
23,2013-06-24,1.76,False
24,2013-06-25,4.0,False
25,2013-06-26,1.52,False
26,2013-06-27,1.8,False
27,2013-06-28,1.8800000000000001,False
28,2013-06-29,0.64,False
29,2013-06-30,0.0,False
0,2013-07-01,0.8999999999999999,False
1,2013-07-02,2.4,False
2,2013-07-03,1.14,False
3,2013-07-04,1.2,False
4,2013-07-05,1.6199999999999999,False
5,2013-07-06,0.96,False
6,2013-07-07,1.38,False
7,2013-07-08,3.0,False
8,2013-07-09,0.96,False
9,2013-07-10,1.5,False
10,2013-07-11,2.1,False
11,2013-07-12,6.0,False
12,2013-07-13,1.6199999999999999,False
13,2013-07-14,1.38,False
14,2013-07-15,1.8599999999999999,False
15,2013-07-16,2.46,False
16,2013-07-17,3.2399999999999998,False
17,2013-07-18,1.92,False
18,2013-07-19,1.98,False
19,2013-07-20,0.72,False
20,2013-07-21,0.48,False
21,2013-07-22,2.6399999999999997,False
22,2013-07-23,1.3199999999999998,False
23,2013-07-24,2.6999999999999997,False
24,2013-07-25,2.1,False
25,2013-07-26,1.2,False
26,2013-07-27,0.8999999999999999,False
27,2013-07-28,1.14,False
28,2013-07-29,1.68,False
29,2013-07-30,1.3199999999999998,False
30,2013-07-31,2.46,False
