"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 04, 2019","327.08","316.69","328.44","316.08","4.45M","5.20%"
"Jan 03, 2019","310.90","319.49","319.74","309.40","5.71M","-3.99%"
"Jan 02, 2019","323.81","316.19","323.95","313.71","3.29M","0.41%"
"Dec 31, 2018","322.50","320.50","323.64","318.75","3.56M","1.93%"
"Dec 28, 2018","316.38","319.74","321.53","315.15","3.73M","-0.24%"
"Dec 27, 2018","317.14","309.04","317.14","302.24","4.34M","1.02%"
"Dec 26, 2018","313.93","298.61","314.09","292.47","4.84M","6.72%"
"Dec 24, 2018","294.16","300.65","303.00","294.16","3.44M","-3.41%"
"Dec 21, 2018","304.55","309.09","314.97","304.01","7.64M","-2.72%"
"Dec 20, 2018","313.05","317.00","321.82","308.00","5.37M","-2.03%"
"Dec 19, 2018","319.55","329.33","333.48","316.10","4.87M","-2.59%"
"Dec 18, 2018","328.06","325.46","332.09","323.20","5.88M","3.77%"
"Dec 17, 2018","316.13","316.91","327.22","314.44","4.97M","-0.82%"
"Dec 14, 2018","318.75","322.45","323.91","315.56","3.30M","-2.06%"
"Dec 13, 2018","325.47","328.40","328.74","324.17","2.25M","-0.37%"
"Dec 12, 2018","326.69","327.38","331.90","324.66","3.42M","1.45%"
"Dec 11, 2018","322.03","333.25","334.49","318.75","3.57M","-1.32%"
"Dec 10, 2018","326.35","321.27","327.20","315.51","4.40M","0.97%"
"Dec 07, 2018","323.22","332.35","337.61","321.39","4.53M","-2.62%"
"Dec 06, 2018","331.90","329.99","333.63","317.30","9.30M","-3.09%"
"Dec 04, 2018","342.50","357.00","358.32","341.74","5.20M","-4.85%"
"Dec 03, 2018","359.96","364.31","369.00","356.37","6.57M","3.81%"
"Nov 30, 2018","346.76","341.94","347.58","337.50","5.37M","1.23%"
"Nov 29, 2018","342.56","335.97","343.23","334.06","5.33M","2.72%"
"Nov 28, 2018","333.50","325.72","334.01","321.73","6.12M","4.86%"
"Nov 27, 2018","318.03","315.28","318.56","310.96","2.95M","0.53%"
"Nov 26, 2018","316.36","315.56","318.59","310.66","3.36M","1.29%"
"Nov 23, 2018","312.32","315.00","317.00","311.87","1.60M","-1.58%"
"Nov 21, 2018","317.32","325.07","326.89","315.56","4.40M","-0.12%"
"Nov 20, 2018","317.70","302.10","322.18","296.61","6.88M","-1.01%"
"Nov 19, 2018","320.94","335.55","336.04","317.20","6.78M","-4.47%"
"Nov 16, 2018","335.95","339.00","340.19","331.16","4.43M","-1.65%"
"Nov 15, 2018","341.57","341.12","347.98","336.51","4.86M","-0.91%"
"Nov 14, 2018","344.72","352.09","355.85","343.89","3.45M","-1.37%"
"Nov 13, 2018","349.51","349.55","355.38","342.04","4.96M","-2.11%"
"Nov 12, 2018","357.03","370.21","370.48","355.99","3.09M","-3.33%"
"Nov 09, 2018","369.34","367.83","371.00","366.12","2.59M","-0.39%"
"Nov 08, 2018","370.77","369.33","373.70","365.55","2.75M","-0.34%"
"Nov 07, 2018","372.02","367.64","372.85","359.50","4.02M","1.51%"
"Nov 06, 2018","366.47","362.41","368.44","362.11","2.47M","1.24%"
"Nov 05, 2018","361.98","359.76","363.29","356.48","2.25M","1.18%"
"Nov 02, 2018","357.75","366.97","371.54","356.76","4.03M","-1.47%"
"Nov 01, 2018","363.07","357.47","364.57","353.20","3.76M","2.31%"
"Oct 31, 2018","354.86","352.51","363.40","352.51","4.18M","1.41%"
"Oct 30, 2018","349.91","330.35","351.05","329.77","5.77M","4.27%"
"Oct 29, 2018","335.59","360.55","361.71","328.63","7.46M","-6.59%"
"Oct 26, 2018","359.27","360.70","363.30","354.12","4.07M","-1.24%"
"Oct 25, 2018","363.77","357.30","364.39","354.97","4.00M","2.57%"
"Oct 24, 2018","354.65","361.59","364.60","351.69","8.44M","1.31%"
"Oct 23, 2018","350.05","349.50","353.56","342.83","4.39M","-1.67%"
"Oct 22, 2018","355.98","357.85","358.76","352.46","2.26M","-0.08%"
"Oct 19, 2018","356.26","359.80","359.87","354.20","3.49M","-0.86%"
"Oct 18, 2018","359.35","364.82","367.76","356.76","3.25M","-1.68%"
"Oct 17, 2018","365.50","368.00","368.50","362.70","2.24M","-0.75%"
"Oct 16, 2018","368.25","360.45","368.57","358.55","2.82M","2.61%"
"Oct 15, 2018","358.88","359.46","362.55","355.50","2.98M","-0.34%"
"Oct 12, 2018","360.11","366.01","367.12","352.26","5.51M","0.56%"
"Oct 11, 2018","358.11","363.44","369.85","355.10","6.27M","-2.55%"
"Oct 10, 2018","367.47","382.96","383.80","367.09","6.03M","-4.66%"
"Oct 09, 2018","385.44","384.37","386.82","381.14","2.86M","-0.09%"
"Oct 08, 2018","385.77","383.84","386.73","377.35","3.32M","-0.18%"
"Oct 05, 2018","386.47","389.00","392.39","383.03","2.90M","-0.90%"
"Oct 04, 2018","389.99","390.74","391.09","385.29","3.82M","-0.59%"
"Oct 03, 2018","392.30","388.90","394.28","386.69","4.79M","1.53%"
"Oct 02, 2018","386.37","380.85","388.62","379.77","4.62M","1.07%"
"Oct 01, 2018","382.29","375.16","383.21","375.00","4.76M","2.79%"
"Sep 28, 2018","371.90","368.63","374.22","366.22","3.60M","1.23%"
"Sep 27, 2018","367.39","368.40","368.97","364.40","2.36M","0.65%"
"Sep 26, 2018","365.03","367.50","368.56","364.32","2.37M","-0.60%"
"Sep 25, 2018","367.23","369.08","370.46","366.88","2.97M","-0.21%"
"Sep 24, 2018","367.99","371.00","371.89","367.33","2.80M","-1.14%"
"Sep 21, 2018","372.23","369.40","372.56","366.05","7.14M","1.30%"
"Sep 20, 2018","367.46","368.74","371.73","365.67","4.01M","0.61%"
