,date,ODP stock,isPartial
0,2012-07-01,0.0,False
1,2012-07-02,0.0,False
2,2012-07-03,0.0,False
3,2012-07-04,0.0,False
4,2012-07-05,0.0,False
5,2012-07-06,0.0,False
6,2012-07-07,0.0,False
7,2012-07-08,0.0,False
8,2012-07-09,0.0,False
9,2012-07-10,0.0,False
10,2012-07-11,3.96,False
11,2012-07-12,0.0,False
12,2012-07-13,0.0,False
13,2012-07-14,0.0,False
14,2012-07-15,0.0,False
15,2012-07-16,0.0,False
16,2012-07-17,3.96,False
17,2012-07-18,3.96,False
18,2012-07-19,3.96,False
19,2012-07-20,0.0,False
20,2012-07-21,0.0,False
21,2012-07-22,5.16,False
22,2012-07-23,0.0,False
23,2012-07-24,3.96,False
24,2012-07-25,0.0,False
25,2012-07-26,12.0,False
26,2012-07-27,4.2,False
27,2012-07-28,0.0,False
28,2012-07-29,0.0,False
29,2012-07-30,0.0,False
30,2012-07-31,0.0,False
0,2012-08-01,6.569999999999999,False
1,2012-08-02,0.0,False
2,2012-08-03,4.59,False
3,2012-08-04,0.0,False
4,2012-08-05,0.0,False
5,2012-08-06,8.64,False
6,2012-08-07,4.32,False
7,2012-08-08,0.0,False
8,2012-08-09,0.0,False
9,2012-08-10,0.0,False
10,2012-08-11,5.3999999999999995,False
11,2012-08-12,0.0,False
12,2012-08-13,8.73,False
13,2012-08-14,4.32,False
14,2012-08-15,4.5,False
15,2012-08-16,4.41,False
16,2012-08-17,4.68,False
17,2012-08-18,5.49,False
18,2012-08-19,0.0,False
19,2012-08-20,4.41,False
20,2012-08-21,0.0,False
21,2012-08-22,0.0,False
22,2012-08-23,4.41,False
23,2012-08-24,9.0,False
24,2012-08-25,5.31,False
25,2012-08-26,0.0,False
26,2012-08-27,0.0,False
27,2012-08-28,0.0,False
28,2012-08-29,4.2299999999999995,False
29,2012-08-30,4.32,False
30,2012-08-31,0.0,False
0,2012-09-01,0.0,False
1,2012-09-02,0.0,False
2,2012-09-03,0.0,False
3,2012-09-04,12.35,False
4,2012-09-05,12.35,False
5,2012-09-06,19.0,False
6,2012-09-07,13.3,False
7,2012-09-08,0.0,False
8,2012-09-09,0.0,False
9,2012-09-10,0.0,False
10,2012-09-11,0.0,False
11,2012-09-12,12.16,False
12,2012-09-13,12.540000000000001,False
13,2012-09-14,0.0,False
14,2012-09-15,0.0,False
15,2012-09-16,0.0,False
16,2012-09-17,12.35,False
17,2012-09-18,0.0,False
18,2012-09-19,12.35,False
19,2012-09-20,12.540000000000001,False
20,2012-09-21,12.92,False
21,2012-09-22,15.01,False
22,2012-09-23,0.0,False
23,2012-09-24,12.16,False
24,2012-09-25,12.16,False
25,2012-09-26,11.97,False
26,2012-09-27,12.35,False
27,2012-09-28,12.92,False
28,2012-09-29,14.82,False
29,2012-09-30,0.0,False
0,2012-10-01,0.0,False
1,2012-10-02,0.0,False
2,2012-10-03,6.63,False
3,2012-10-04,0.0,False
4,2012-10-05,0.0,False
5,2012-10-06,0.0,False
6,2012-10-07,0.0,False
7,2012-10-08,6.37,False
8,2012-10-09,6.37,False
9,2012-10-10,6.24,False
10,2012-10-11,6.5,False
11,2012-10-12,0.0,False
12,2012-10-13,0.0,False
13,2012-10-14,0.0,False
14,2012-10-15,6.37,False
15,2012-10-16,0.0,False
16,2012-10-17,12.610000000000001,False
17,2012-10-18,6.37,False
18,2012-10-19,0.0,False
19,2012-10-20,0.0,False
20,2012-10-21,7.67,False
21,2012-10-22,0.0,False
22,2012-10-23,6.24,False
23,2012-10-24,0.0,False
24,2012-10-25,13.0,False
25,2012-10-26,6.76,False
26,2012-10-27,0.0,False
27,2012-10-28,0.0,False
28,2012-10-29,0.0,False
29,2012-10-30,0.0,False
30,2012-10-31,6.37,False
0,2012-11-01,5.279999999999999,False
1,2012-11-02,5.279999999999999,False
2,2012-11-03,0.0,False
3,2012-11-04,0.0,False
4,2012-11-05,0.0,False
5,2012-11-06,4.8,False
6,2012-11-07,7.08,False
7,2012-11-08,0.0,False
8,2012-11-09,0.0,False
9,2012-11-10,0.0,False
10,2012-11-11,0.0,False
11,2012-11-12,9.719999999999999,False
12,2012-11-13,4.92,False
13,2012-11-14,0.0,False
14,2012-11-15,5.04,False
15,2012-11-16,5.16,False
16,2012-11-17,5.76,False
17,2012-11-18,0.0,False
18,2012-11-19,4.8,False
19,2012-11-20,12.0,False
20,2012-11-21,4.92,False
21,2012-11-22,0.0,False
22,2012-11-23,10.32,False
23,2012-11-24,0.0,False
24,2012-11-25,0.0,False
25,2012-11-26,4.68,False
26,2012-11-27,0.0,False
27,2012-11-28,0.0,False
28,2012-11-29,0.0,False
29,2012-11-30,0.0,False
0,2012-12-01,0.0,False
1,2012-12-02,0.0,False
2,2012-12-03,0.0,False
3,2012-12-04,5.28,False
4,2012-12-05,5.28,False
5,2012-12-06,8.14,False
6,2012-12-07,5.61,False
7,2012-12-08,0.0,False
8,2012-12-09,0.0,False
9,2012-12-10,0.0,False
10,2012-12-11,0.0,False
11,2012-12-12,0.0,False
12,2012-12-13,0.0,False
13,2012-12-14,0.0,False
14,2012-12-15,0.0,False
15,2012-12-16,0.0,False
16,2012-12-17,0.0,False
17,2012-12-18,5.28,False
18,2012-12-19,5.5,False
19,2012-12-20,11.0,False
20,2012-12-21,0.0,False
21,2012-12-22,0.0,False
22,2012-12-23,0.0,False
23,2012-12-24,0.0,False
24,2012-12-25,0.0,False
25,2012-12-26,6.05,False
26,2012-12-27,5.72,False
27,2012-12-28,0.0,False
28,2012-12-29,0.0,False
29,2012-12-30,0.0,False
30,2012-12-31,0.0,False
0,2013-01-01,0.0,False
1,2013-01-02,0.0,False
2,2013-01-03,6.4799999999999995,False
3,2013-01-04,6.4799999999999995,False
4,2013-01-05,0.0,False
5,2013-01-06,0.0,False
6,2013-01-07,0.0,False
7,2013-01-08,6.12,False
8,2013-01-09,0.0,False
9,2013-01-10,6.12,False
10,2013-01-11,0.0,False
11,2013-01-12,0.0,False
12,2013-01-13,0.0,False
13,2013-01-14,0.0,False
14,2013-01-15,0.0,False
15,2013-01-16,18.0,False
16,2013-01-17,9.0,False
17,2013-01-18,6.3,False
18,2013-01-19,7.02,False
19,2013-01-20,0.0,False
20,2013-01-21,5.9399999999999995,False
21,2013-01-22,8.82,False
22,2013-01-23,5.9399999999999995,False
23,2013-01-24,6.12,False
24,2013-01-25,6.3,False
25,2013-01-26,7.02,False
26,2013-01-27,0.0,False
27,2013-01-28,5.9399999999999995,False
28,2013-01-29,5.9399999999999995,False
29,2013-01-30,8.82,False
30,2013-01-31,5.9399999999999995,False
0,2013-02-01,7.590000000000001,False
1,2013-02-02,8.58,False
2,2013-02-03,0.0,False
3,2013-02-04,0.0,False
4,2013-02-05,6.930000000000001,False
5,2013-02-06,7.260000000000001,False
6,2013-02-07,0.0,False
7,2013-02-08,0.0,False
8,2013-02-09,8.58,False
9,2013-02-10,0.0,False
10,2013-02-11,7.260000000000001,False
11,2013-02-12,0.0,False
12,2013-02-13,14.520000000000001,False
13,2013-02-14,10.89,False
14,2013-02-15,7.590000000000001,False
15,2013-02-16,0.0,False
16,2013-02-17,0.0,False
17,2013-02-18,7.260000000000001,False
18,2013-02-19,21.12,False
19,2013-02-20,33.0,False
20,2013-02-21,14.190000000000001,False
21,2013-02-22,17.16,False
22,2013-02-23,8.25,False
23,2013-02-24,0.0,False
24,2013-02-25,6.930000000000001,False
25,2013-02-26,13.860000000000001,False
26,2013-02-27,6.930000000000001,False
27,2013-02-28,10.56,False
0,2013-03-01,0.0,False
1,2013-03-02,0.0,False
2,2013-03-03,0.0,False
3,2013-03-04,7.79,False
4,2013-03-05,3.8,False
5,2013-03-06,5.89,False
6,2013-03-07,3.99,False
7,2013-03-08,3.99,False
8,2013-03-09,0.0,False
9,2013-03-10,4.5600000000000005,False
10,2013-03-11,5.89,False
11,2013-03-12,19.0,False
12,2013-03-13,3.8,False
13,2013-03-14,0.0,False
14,2013-03-15,3.99,False
15,2013-03-16,4.5600000000000005,False
16,2013-03-17,0.0,False
17,2013-03-18,0.0,False
18,2013-03-19,5.7,False
19,2013-03-20,3.8,False
20,2013-03-21,5.89,False
21,2013-03-22,3.99,False
22,2013-03-23,4.5600000000000005,False
23,2013-03-24,4.5600000000000005,False
24,2013-03-25,3.8,False
25,2013-03-26,3.99,False
26,2013-03-27,7.98,False
27,2013-03-28,3.99,False
28,2013-03-29,0.0,False
29,2013-03-30,0.0,False
30,2013-03-31,0.0,False
0,2013-04-01,0.0,False
1,2013-04-02,13.0,False
2,2013-04-03,6.5,False
3,2013-04-04,6.63,False
4,2013-04-05,0.0,False
5,2013-04-06,0.0,False
6,2013-04-07,0.0,False
7,2013-04-08,0.0,False
8,2013-04-09,0.0,False
9,2013-04-10,6.5,False
10,2013-04-11,6.63,False
11,2013-04-12,0.0,False
12,2013-04-13,0.0,False
13,2013-04-14,0.0,False
14,2013-04-15,6.5,False
15,2013-04-16,0.0,False
16,2013-04-17,0.0,False
17,2013-04-18,0.0,False
18,2013-04-19,10.27,False
19,2013-04-20,7.930000000000001,False
20,2013-04-21,0.0,False
21,2013-04-22,0.0,False
22,2013-04-23,0.0,False
23,2013-04-24,0.0,False
24,2013-04-25,6.76,False
25,2013-04-26,6.890000000000001,False
26,2013-04-27,0.0,False
27,2013-04-28,0.0,False
28,2013-04-29,6.63,False
29,2013-04-30,6.63,False
0,2013-05-01,19.0,False
1,2013-05-02,0.0,False
2,2013-05-03,18.81,False
3,2013-05-04,0.0,False
4,2013-05-05,0.0,False
5,2013-05-06,0.0,False
6,2013-05-07,0.0,False
7,2013-05-08,17.67,False
8,2013-05-09,18.05,False
9,2013-05-10,0.0,False
10,2013-05-11,0.0,False
11,2013-05-12,0.0,False
12,2013-05-13,17.48,False
13,2013-05-14,17.29,False
14,2013-05-15,0.0,False
15,2013-05-16,17.29,False
16,2013-05-17,0.0,False
17,2013-05-18,0.0,False
18,2013-05-19,0.0,False
19,2013-05-20,17.29,False
20,2013-05-21,0.0,False
21,2013-05-22,17.29,False
22,2013-05-23,17.29,False
23,2013-05-24,18.05,False
24,2013-05-25,0.0,False
25,2013-05-26,0.0,False
26,2013-05-27,17.86,False
27,2013-05-28,16.91,False
28,2013-05-29,17.1,False
29,2013-05-30,0.0,False
30,2013-05-31,18.240000000000002,False
0,2013-06-01,0.0,False
1,2013-06-02,0.0,False
2,2013-06-03,8.82,False
3,2013-06-04,8.82,False
4,2013-06-05,8.82,False
5,2013-06-06,9.0,False
6,2013-06-07,9.36,False
7,2013-06-08,0.0,False
8,2013-06-09,0.0,False
9,2013-06-10,8.82,False
10,2013-06-11,8.64,False
11,2013-06-12,8.82,False
12,2013-06-13,9.0,False
13,2013-06-14,0.0,False
14,2013-06-15,0.0,False
15,2013-06-16,0.0,False
16,2013-06-17,0.0,False
17,2013-06-18,0.0,False
18,2013-06-19,0.0,False
19,2013-06-20,9.0,False
20,2013-06-21,0.0,False
21,2013-06-22,0.0,False
22,2013-06-23,0.0,False
23,2013-06-24,0.0,False
24,2013-06-25,13.32,False
25,2013-06-26,0.0,False
26,2013-06-27,18.0,False
27,2013-06-28,0.0,False
28,2013-06-29,0.0,False
29,2013-06-30,0.0,False
0,2013-07-01,0.0,False
1,2013-07-02,10.22,False
2,2013-07-03,0.0,False
3,2013-07-04,0.0,False
4,2013-07-05,0.0,False
5,2013-07-06,0.0,False
6,2013-07-07,0.0,False
7,2013-07-08,0.0,False
8,2013-07-09,0.0,False
9,2013-07-10,14.000000000000002,False
10,2013-07-11,0.0,False
11,2013-07-12,0.0,False
12,2013-07-13,0.0,False
13,2013-07-14,0.0,False
14,2013-07-15,6.86,False
15,2013-07-16,6.720000000000001,False
16,2013-07-17,0.0,False
17,2013-07-18,7.000000000000001,False
18,2013-07-19,0.0,False
19,2013-07-20,8.540000000000001,False
20,2013-07-21,0.0,False
21,2013-07-22,6.86,False
22,2013-07-23,13.580000000000002,False
