,date,AAPL stock,isPartial
25,2012-06-26,12.48,False
26,2012-06-27,9.92,False
27,2012-06-28,7.36,False
28,2012-06-29,9.28,False
29,2012-06-30,1.6,False
0,2012-07-01,0.8,False
1,2012-07-02,5.44,False
2,2012-07-03,10.24,False
3,2012-07-04,4.48,False
4,2012-07-05,6.88,False
5,2012-07-06,6.4,False
6,2012-07-07,0.8,False
7,2012-07-08,3.04,False
8,2012-07-09,9.120000000000001,False
9,2012-07-10,7.2,False
10,2012-07-11,6.24,False
11,2012-07-12,6.88,False
12,2012-07-13,4.48,False
13,2012-07-14,5.28,False
14,2012-07-15,2.24,False
15,2012-07-16,7.84,False
16,2012-07-17,9.6,False
17,2012-07-18,4.96,False
18,2012-07-19,11.84,False
19,2012-07-20,5.76,False
20,2012-07-21,3.2,False
21,2012-07-22,1.6,False
22,2012-07-23,7.36,False
23,2012-07-24,16.0,False
24,2012-07-25,12.96,False
25,2012-07-26,10.08,False
26,2012-07-27,11.040000000000001,False
27,2012-07-28,1.6,False
28,2012-07-29,1.44,False
29,2012-07-30,13.92,False
30,2012-07-31,9.92,False
0,2012-08-01,9.24,False
1,2012-08-02,12.389999999999999,False
2,2012-08-03,10.08,False
3,2012-08-04,5.88,False
4,2012-08-05,2.31,False
5,2012-08-06,10.5,False
6,2012-08-07,9.45,False
7,2012-08-08,13.229999999999999,False
8,2012-08-09,10.29,False
9,2012-08-10,10.709999999999999,False
10,2012-08-11,3.57,False
11,2012-08-12,1.89,False
12,2012-08-13,8.4,False
13,2012-08-14,10.5,False
14,2012-08-15,11.76,False
15,2012-08-16,10.29,False
16,2012-08-17,19.74,False
17,2012-08-18,6.93,False
18,2012-08-19,4.2,False
19,2012-08-20,15.75,False
20,2012-08-21,21.0,False
21,2012-08-22,14.49,False
22,2012-08-23,16.169999999999998,False
23,2012-08-24,20.58,False
24,2012-08-25,11.549999999999999,False
25,2012-08-26,6.93,False
26,2012-08-27,20.79,False
27,2012-08-28,19.74,False
28,2012-08-29,15.959999999999999,False
29,2012-08-30,12.6,False
30,2012-08-31,9.66,False
0,2012-09-01,3.0,False
1,2012-09-02,3.0,False
2,2012-09-03,1.25,False
3,2012-09-04,8.25,False
4,2012-09-05,11.75,False
5,2012-09-06,11.25,False
6,2012-09-07,10.25,False
7,2012-09-08,3.5,False
8,2012-09-09,2.75,False
9,2012-09-10,10.5,False
10,2012-09-11,11.25,False
11,2012-09-12,25.0,False
12,2012-09-13,19.75,False
13,2012-09-14,16.0,False
14,2012-09-15,4.5,False
15,2012-09-16,4.25,False
16,2012-09-17,15.0,False
17,2012-09-18,14.75,False
18,2012-09-19,13.75,False
19,2012-09-20,12.25,False
20,2012-09-21,12.25,False
21,2012-09-22,6.0,False
22,2012-09-23,2.5,False
23,2012-09-24,13.75,False
24,2012-09-25,9.75,False
25,2012-09-26,11.5,False
26,2012-09-27,12.75,False
27,2012-09-28,10.75,False
28,2012-09-29,5.0,False
29,2012-09-30,3.75,False
0,2012-10-01,13.5,False
1,2012-10-02,15.39,False
2,2012-10-03,9.99,False
3,2012-10-04,14.850000000000001,False
4,2012-10-05,13.770000000000001,False
5,2012-10-06,2.43,False
6,2012-10-07,2.7,False
7,2012-10-08,14.850000000000001,False
8,2012-10-09,13.770000000000001,False
9,2012-10-10,14.580000000000002,False
10,2012-10-11,10.530000000000001,False
11,2012-10-12,12.96,False
12,2012-10-13,4.050000000000001,False
13,2012-10-14,2.97,False
14,2012-10-15,12.96,False
15,2012-10-16,13.5,False
16,2012-10-17,12.96,False
17,2012-10-18,14.31,False
18,2012-10-19,15.66,False
19,2012-10-20,5.67,False
20,2012-10-21,3.24,False
21,2012-10-22,15.930000000000001,False
22,2012-10-23,21.87,False
23,2012-10-24,22.950000000000003,False
24,2012-10-25,22.68,False
25,2012-10-26,27.0,False
26,2012-10-27,5.4,False
27,2012-10-28,2.16,False
28,2012-10-29,10.530000000000001,False
29,2012-10-30,6.75,False
30,2012-10-31,15.930000000000001,False
0,2012-11-01,11.34,False
1,2012-11-02,11.549999999999999,False
2,2012-11-03,5.25,False
3,2012-11-04,3.36,False
4,2012-11-05,10.29,False
5,2012-11-06,9.45,False
6,2012-11-07,17.43,False
7,2012-11-08,21.0,False
8,2012-11-09,12.6,False
9,2012-11-10,4.2,False
10,2012-11-11,2.73,False
11,2012-11-12,10.29,False
12,2012-11-13,11.969999999999999,False
13,2012-11-14,13.02,False
14,2012-11-15,12.389999999999999,False
15,2012-11-16,14.28,False
16,2012-11-17,4.41,False
17,2012-11-18,3.57,False
18,2012-11-19,14.7,False
19,2012-11-20,13.02,False
20,2012-11-21,14.91,False
21,2012-11-22,3.36,False
22,2012-11-23,10.08,False
23,2012-11-24,3.57,False
24,2012-11-25,4.83,False
25,2012-11-26,8.82,False
26,2012-11-27,11.34,False
27,2012-11-28,9.87,False
28,2012-11-29,11.549999999999999,False
29,2012-11-30,9.87,False
0,2012-12-01,3.5100000000000002,False
1,2012-12-02,3.5100000000000002,False
2,2012-12-03,9.18,False
3,2012-12-04,20.790000000000003,False
4,2012-12-05,27.0,False
5,2012-12-06,26.19,False
6,2012-12-07,22.14,False
7,2012-12-08,7.83,False
8,2012-12-09,3.5100000000000002,False
9,2012-12-10,16.200000000000003,False
10,2012-12-11,17.82,False
11,2012-12-12,17.01,False
12,2012-12-13,19.17,False
13,2012-12-14,26.46,False
14,2012-12-15,8.91,False
15,2012-12-16,4.050000000000001,False
16,2012-12-17,21.87,False
17,2012-12-18,17.01,False
18,2012-12-19,18.09,False
19,2012-12-20,14.040000000000001,False
20,2012-12-21,12.420000000000002,False
21,2012-12-22,2.16,False
22,2012-12-23,3.7800000000000002,False
23,2012-12-24,13.5,False
24,2012-12-25,1.62,False
25,2012-12-26,12.690000000000001,False
26,2012-12-27,25.650000000000002,False
27,2012-12-28,14.850000000000001,False
28,2012-12-29,5.130000000000001,False
29,2012-12-30,1.35,False
30,2012-12-31,18.900000000000002,False
0,2013-01-01,2.4000000000000004,False
1,2013-01-02,11.200000000000001,False
