,date,PEP stock,isPartial
24,2012-07-25,12.09,False
25,2012-07-26,31.0,False
26,2012-07-27,17.05,False
27,2012-07-28,15.19,False
28,2012-07-29,22.32,False
29,2012-07-30,12.09,False
30,2012-07-31,12.09,False
0,2012-08-01,7.82,False
1,2012-08-02,15.870000000000001,False
2,2012-08-03,8.280000000000001,False
3,2012-08-04,9.66,False
4,2012-08-05,0.0,False
5,2012-08-06,23.0,False
6,2012-08-07,7.82,False
7,2012-08-08,15.41,False
8,2012-08-09,0.0,False
9,2012-08-10,16.330000000000002,False
10,2012-08-11,9.66,False
11,2012-08-12,0.0,False
12,2012-08-13,7.82,False
13,2012-08-14,7.590000000000001,False
14,2012-08-15,8.05,False
15,2012-08-16,7.82,False
16,2012-08-17,16.560000000000002,False
17,2012-08-18,9.89,False
18,2012-08-19,9.89,False
19,2012-08-20,8.05,False
20,2012-08-21,7.82,False
21,2012-08-22,7.82,False
22,2012-08-23,0.0,False
23,2012-08-24,12.190000000000001,False
24,2012-08-25,9.43,False
25,2012-08-26,0.0,False
26,2012-08-27,15.180000000000001,False
27,2012-08-28,0.0,False
28,2012-08-29,7.590000000000001,False
29,2012-08-30,7.590000000000001,False
30,2012-08-31,0.0,False
0,2012-09-01,13.8,False
1,2012-09-02,0.0,False
2,2012-09-03,0.0,False
3,2012-09-04,11.040000000000001,False
4,2012-09-05,11.040000000000001,False
5,2012-09-06,16.79,False
6,2012-09-07,0.0,False
7,2012-09-08,13.57,False
8,2012-09-09,13.57,False
9,2012-09-10,0.0,False
10,2012-09-11,11.040000000000001,False
11,2012-09-12,16.330000000000002,False
12,2012-09-13,11.040000000000001,False
13,2012-09-14,11.5,False
14,2012-09-15,0.0,False
15,2012-09-16,0.0,False
16,2012-09-17,10.81,False
17,2012-09-18,10.81,False
18,2012-09-19,0.0,False
19,2012-09-20,22.310000000000002,False
20,2012-09-21,23.0,False
21,2012-09-22,13.34,False
22,2012-09-23,12.88,False
23,2012-09-24,0.0,False
24,2012-09-25,10.81,False
25,2012-09-26,16.330000000000002,False
26,2012-09-27,11.040000000000001,False
27,2012-09-28,11.5,False
28,2012-09-29,0.0,False
29,2012-09-30,0.0,False
0,2012-10-01,14.840000000000002,False
1,2012-10-02,9.8,False
2,2012-10-03,0.0,False
3,2012-10-04,14.560000000000002,False
4,2012-10-05,15.120000000000001,False
5,2012-10-06,0.0,False
6,2012-10-07,0.0,False
7,2012-10-08,9.520000000000001,False
8,2012-10-09,0.0,False
9,2012-10-10,14.280000000000001,False
10,2012-10-11,9.520000000000001,False
11,2012-10-12,10.080000000000002,False
12,2012-10-13,0.0,False
13,2012-10-14,0.0,False
14,2012-10-15,14.000000000000002,False
15,2012-10-16,14.000000000000002,False
16,2012-10-17,28.000000000000004,False
17,2012-10-18,9.520000000000001,False
18,2012-10-19,10.080000000000002,False
19,2012-10-20,22.680000000000003,False
20,2012-10-21,0.0,False
21,2012-10-22,18.76,False
22,2012-10-23,9.24,False
23,2012-10-24,14.000000000000002,False
24,2012-10-25,9.520000000000001,False
25,2012-10-26,10.080000000000002,False
26,2012-10-27,11.760000000000002,False
27,2012-10-28,0.0,False
28,2012-10-29,0.0,False
29,2012-10-30,13.72,False
30,2012-10-31,9.520000000000001,False
0,2012-11-01,8.4,False
1,2012-11-02,0.0,False
2,2012-11-03,9.520000000000001,False
3,2012-11-04,0.0,False
4,2012-11-05,0.0,False
5,2012-11-06,7.840000000000001,False
6,2012-11-07,7.840000000000001,False
7,2012-11-08,12.040000000000001,False
8,2012-11-09,8.4,False
9,2012-11-10,23.8,False
10,2012-11-11,28.000000000000004,False
11,2012-11-12,15.96,False
12,2012-11-13,7.840000000000001,False
13,2012-11-14,7.840000000000001,False
14,2012-11-15,8.120000000000001,False
15,2012-11-16,20.720000000000002,False
16,2012-11-17,9.24,False
17,2012-11-18,9.24,False
18,2012-11-19,15.400000000000002,False
19,2012-11-20,7.840000000000001,False
20,2012-11-21,24.080000000000002,False
21,2012-11-22,0.0,False
22,2012-11-23,0.0,False
23,2012-11-24,19.040000000000003,False
24,2012-11-25,0.0,False
25,2012-11-26,15.120000000000001,False
26,2012-11-27,22.96,False
27,2012-11-28,19.32,False
28,2012-11-29,7.840000000000001,False
29,2012-11-30,8.120000000000001,False
0,2012-12-01,10.58,False
1,2012-12-02,10.35,False
2,2012-12-03,13.110000000000001,False
3,2012-12-04,12.88,False
4,2012-12-05,13.110000000000001,False
5,2012-12-06,11.96,False
6,2012-12-07,23.0,False
7,2012-12-08,10.81,False
8,2012-12-09,10.120000000000001,False
9,2012-12-10,8.51,False
10,2012-12-11,8.74,False
11,2012-12-12,8.74,False
12,2012-12-13,17.71,False
13,2012-12-14,9.200000000000001,False
14,2012-12-15,0.0,False
15,2012-12-16,0.0,False
16,2012-12-17,8.74,False
17,2012-12-18,11.73,False
18,2012-12-19,8.97,False
19,2012-12-20,8.97,False
20,2012-12-21,19.32,False
21,2012-12-22,10.81,False
22,2012-12-23,0.0,False
23,2012-12-24,11.040000000000001,False
24,2012-12-25,0.0,False
25,2012-12-26,0.0,False
26,2012-12-27,9.43,False
27,2012-12-28,9.66,False
28,2012-12-29,10.81,False
29,2012-12-30,0.0,False
30,2012-12-31,0.0,False
0,2013-01-01,0.0,False
1,2013-01-02,14.560000000000002,False
2,2013-01-03,9.520000000000001,False
3,2013-01-04,19.880000000000003,False
4,2013-01-05,16.520000000000003,False
5,2013-01-06,0.0,False
6,2013-01-07,9.24,False
7,2013-01-08,9.24,False
8,2013-01-09,0.0,False
9,2013-01-10,18.48,False
10,2013-01-11,0.0,False
11,2013-01-12,0.0,False
12,2013-01-13,10.64,False
13,2013-01-14,9.24,False
14,2013-01-15,13.440000000000001,False
15,2013-01-16,13.72,False
16,2013-01-17,18.200000000000003,False
17,2013-01-18,28.000000000000004,False
18,2013-01-19,10.64,False
19,2013-01-20,0.0,False
20,2013-01-21,8.96,False
21,2013-01-22,8.96,False
22,2013-01-23,8.96,False
23,2013-01-24,9.24,False
24,2013-01-25,9.520000000000001,False
25,2013-01-26,10.64,False
26,2013-01-27,10.64,False
27,2013-01-28,18.200000000000003,False
28,2013-01-29,8.96,False
29,2013-01-30,17.64,False
30,2013-01-31,8.96,False
0,2013-02-01,0.0,False
1,2013-02-02,0.0,False
2,2013-02-03,0.0,False
3,2013-02-04,16.529999999999998,False
4,2013-02-05,16.529999999999998,False
5,2013-02-06,16.529999999999998,False
6,2013-02-07,8.41,False
7,2013-02-08,8.7,False
8,2013-02-09,0.0,False
9,2013-02-10,10.149999999999999,False
10,2013-02-11,25.229999999999997,False
11,2013-02-12,17.4,False
12,2013-02-13,8.41,False
13,2013-02-14,21.459999999999997,False
14,2013-02-15,17.689999999999998,False
15,2013-02-16,9.86,False
16,2013-02-17,9.86,False
17,2013-02-18,8.41,False
18,2013-02-19,16.529999999999998,False
19,2013-02-20,16.529999999999998,False
20,2013-02-21,28.999999999999996,False
21,2013-02-22,17.11,False
22,2013-02-23,9.86,False
23,2013-02-24,14.499999999999998,False
24,2013-02-25,8.12,False
25,2013-02-26,12.18,False
26,2013-02-27,16.529999999999998,False
27,2013-02-28,11.02,False
0,2013-03-01,48.0,False
1,2013-03-02,13.44,False
2,2013-03-03,13.92,False
3,2013-03-04,11.52,False
4,2013-03-05,11.52,False
5,2013-03-06,34.56,False
6,2013-03-07,17.28,False
7,2013-03-08,24.0,False
8,2013-03-09,0.0,False
9,2013-03-10,0.0,False
10,2013-03-11,11.52,False
11,2013-03-12,27.84,False
12,2013-03-13,16.8,False
13,2013-03-14,28.799999999999997,False
14,2013-03-15,11.52,False
15,2013-03-16,13.44,False
16,2013-03-17,26.4,False
17,2013-03-18,11.04,False
18,2013-03-19,11.04,False
19,2013-03-20,34.08,False
20,2013-03-21,35.04,False
21,2013-03-22,35.04,False
22,2013-03-23,13.44,False
23,2013-03-24,13.44,False
24,2013-03-25,16.8,False
25,2013-03-26,33.6,False
26,2013-03-27,23.52,False
27,2013-03-28,12.0,False
28,2013-03-29,12.959999999999999,False
29,2013-03-30,13.92,False
30,2013-03-31,0.0,False
0,2013-04-01,39.0,False
1,2013-04-02,21.060000000000002,False
2,2013-04-03,15.99,False
3,2013-04-04,10.530000000000001,False
4,2013-04-05,33.15,False
5,2013-04-06,12.48,False
6,2013-04-07,0.0,False
7,2013-04-08,0.0,False
8,2013-04-09,10.530000000000001,False
9,2013-04-10,15.99,False
10,2013-04-11,15.99,False
11,2013-04-12,10.92,False
12,2013-04-13,19.11,False
13,2013-04-14,12.870000000000001,False
14,2013-04-15,10.530000000000001,False
15,2013-04-16,26.52,False
16,2013-04-17,31.59,False
17,2013-04-18,21.45,False
18,2013-04-19,16.77,False
19,2013-04-20,19.11,False
20,2013-04-21,12.870000000000001,False
21,2013-04-22,26.130000000000003,False
22,2013-04-23,36.660000000000004,False
23,2013-04-24,37.44,False
24,2013-04-25,16.38,False
25,2013-04-26,22.23,False
26,2013-04-27,25.35,False
