,date,FB stock,isPartial
25,2012-07-26,16.53,False
26,2012-07-27,19.0,False
27,2012-07-28,7.6,False
28,2012-07-29,4.18,False
29,2012-07-30,11.21,False
30,2012-07-31,7.6,False
0,2012-08-01,22.25,False
1,2012-08-02,24.25,False
2,2012-08-03,23.0,False
3,2012-08-04,8.5,False
4,2012-08-05,6.0,False
5,2012-08-06,14.25,False
6,2012-08-07,18.25,False
7,2012-08-08,11.25,False
8,2012-08-09,15.0,False
9,2012-08-10,15.5,False
10,2012-08-11,9.25,False
11,2012-08-12,2.25,False
12,2012-08-13,13.75,False
13,2012-08-14,15.5,False
14,2012-08-15,18.0,False
15,2012-08-16,25.0,False
16,2012-08-17,25.0,False
17,2012-08-18,10.5,False
18,2012-08-19,8.75,False
19,2012-08-20,15.5,False
20,2012-08-21,21.25,False
21,2012-08-22,13.25,False
22,2012-08-23,17.25,False
23,2012-08-24,21.0,False
24,2012-08-25,7.25,False
25,2012-08-26,5.25,False
26,2012-08-27,11.75,False
27,2012-08-28,10.75,False
28,2012-08-29,13.0,False
29,2012-08-30,12.5,False
30,2012-08-31,10.0,False
0,2012-09-01,7.199999999999999,False
1,2012-09-02,3.2399999999999998,False
2,2012-09-03,3.5999999999999996,False
3,2012-09-04,9.36,False
4,2012-09-05,13.68,False
5,2012-09-06,9.0,False
6,2012-09-07,8.82,False
7,2012-09-08,4.32,False
8,2012-09-09,3.2399999999999998,False
9,2012-09-10,7.92,False
10,2012-09-11,10.08,False
11,2012-09-12,18.0,False
12,2012-09-13,12.059999999999999,False
13,2012-09-14,9.54,False
14,2012-09-15,4.5,False
15,2012-09-16,2.88,False
16,2012-09-17,7.38,False
17,2012-09-18,9.54,False
18,2012-09-19,8.459999999999999,False
19,2012-09-20,8.64,False
20,2012-09-21,8.28,False
21,2012-09-22,3.78,False
22,2012-09-23,2.34,False
23,2012-09-24,10.26,False
24,2012-09-25,8.64,False
25,2012-09-26,5.3999999999999995,False
26,2012-09-27,8.64,False
27,2012-09-28,7.92,False
28,2012-09-29,2.34,False
29,2012-09-30,1.7999999999999998,False
0,2012-10-01,5.76,False
1,2012-10-02,6.72,False
2,2012-10-03,7.2,False
3,2012-10-04,10.56,False
4,2012-10-05,6.5600000000000005,False
5,2012-10-06,1.76,False
6,2012-10-07,1.44,False
7,2012-10-08,5.6000000000000005,False
8,2012-10-09,6.24,False
9,2012-10-10,4.16,False
10,2012-10-11,5.28,False
11,2012-10-12,5.92,False
12,2012-10-13,3.68,False
13,2012-10-14,1.6,False
14,2012-10-15,4.32,False
15,2012-10-16,6.4,False
16,2012-10-17,4.8,False
17,2012-10-18,5.12,False
18,2012-10-19,5.76,False
19,2012-10-20,3.36,False
20,2012-10-21,1.12,False
21,2012-10-22,6.08,False
22,2012-10-23,12.0,False
23,2012-10-24,16.0,False
24,2012-10-25,10.56,False
25,2012-10-26,10.88,False
26,2012-10-27,3.36,False
27,2012-10-28,2.72,False
28,2012-10-29,2.24,False
29,2012-10-30,2.4,False
30,2012-10-31,6.5600000000000005,False
0,2012-11-01,7.8,False
1,2012-11-02,6.6,False
2,2012-11-03,2.6399999999999997,False
3,2012-11-04,2.16,False
4,2012-11-05,6.6,False
5,2012-11-06,7.199999999999999,False
6,2012-11-07,8.64,False
7,2012-11-08,8.16,False
8,2012-11-09,8.28,False
9,2012-11-10,1.92,False
10,2012-11-11,2.6399999999999997,False
11,2012-11-12,6.359999999999999,False
12,2012-11-13,5.3999999999999995,False
13,2012-11-14,12.0,False
14,2012-11-15,10.68,False
15,2012-11-16,6.4799999999999995,False
16,2012-11-17,4.4399999999999995,False
17,2012-11-18,4.8,False
18,2012-11-19,8.16,False
19,2012-11-20,8.04,False
20,2012-11-21,8.04,False
21,2012-11-22,4.2,False
22,2012-11-23,8.28,False
23,2012-11-24,2.6399999999999997,False
24,2012-11-25,1.7999999999999998,False
25,2012-11-26,11.4,False
26,2012-11-27,11.4,False
27,2012-11-28,7.68,False
28,2012-11-29,10.559999999999999,False
29,2012-11-30,11.76,False
0,2012-12-01,2.97,False
1,2012-12-02,2.97,False
2,2012-12-03,9.13,False
3,2012-12-04,7.04,False
4,2012-12-05,7.15,False
5,2012-12-06,7.26,False
6,2012-12-07,8.91,False
7,2012-12-08,2.31,False
8,2012-12-09,3.3,False
9,2012-12-10,6.71,False
10,2012-12-11,8.03,False
11,2012-12-12,8.8,False
12,2012-12-13,6.6,False
13,2012-12-14,8.47,False
14,2012-12-15,4.07,False
15,2012-12-16,2.2,False
16,2012-12-17,8.69,False
17,2012-12-18,8.14,False
18,2012-12-19,7.37,False
19,2012-12-20,6.49,False
20,2012-12-21,11.0,False
21,2012-12-22,2.31,False
22,2012-12-23,0.77,False
23,2012-12-24,3.08,False
24,2012-12-25,2.53,False
25,2012-12-26,4.29,False
26,2012-12-27,6.38,False
27,2012-12-28,5.5,False
28,2012-12-29,2.64,False
29,2012-12-30,3.41,False
30,2012-12-31,8.03,False
0,2013-01-01,4.05,False
1,2013-01-02,6.8999999999999995,False
2,2013-01-03,7.5,False
3,2013-01-04,5.25,False
4,2013-01-05,2.6999999999999997,False
5,2013-01-06,2.4,False
6,2013-01-07,6.6,False
7,2013-01-08,4.95,False
8,2013-01-09,7.05,False
9,2013-01-10,7.8,False
10,2013-01-11,10.35,False
11,2013-01-12,2.1,False
12,2013-01-13,1.7999999999999998,False
13,2013-01-14,7.949999999999999,False
14,2013-01-15,11.549999999999999,False
15,2013-01-16,9.299999999999999,False
16,2013-01-17,9.6,False
17,2013-01-18,11.4,False
18,2013-01-19,1.7999999999999998,False
19,2013-01-20,1.5,False
20,2013-01-21,2.1,False
21,2013-01-22,7.949999999999999,False
22,2013-01-23,8.85,False
23,2013-01-24,8.549999999999999,False
24,2013-01-25,8.25,False
25,2013-01-26,2.4,False
26,2013-01-27,1.65,False
27,2013-01-28,8.4,False
28,2013-01-29,10.049999999999999,False
29,2013-01-30,10.049999999999999,False
30,2013-01-31,15.0,False
0,2013-02-01,12.0,False
1,2013-02-02,1.44,False
2,2013-02-03,2.88,False
3,2013-02-04,7.92,False
4,2013-02-05,7.92,False
5,2013-02-06,5.04,False
6,2013-02-07,6.0,False
7,2013-02-08,5.52,False
8,2013-02-09,2.52,False
9,2013-02-10,0.24,False
10,2013-02-11,4.68,False
11,2013-02-12,5.76,False
12,2013-02-13,6.0,False
13,2013-02-14,4.32,False
14,2013-02-15,5.76,False
15,2013-02-16,3.0,False
16,2013-02-17,1.44,False
17,2013-02-18,2.6399999999999997,False
18,2013-02-19,4.56,False
19,2013-02-20,3.96,False
20,2013-02-21,4.92,False
21,2013-02-22,4.56,False
22,2013-02-23,2.16,False
23,2013-02-24,1.68,False
24,2013-02-25,4.4399999999999995,False
25,2013-02-26,5.04,False
26,2013-02-27,5.279999999999999,False
27,2013-02-28,4.32,False
0,2013-03-01,9.0,False
1,2013-03-02,4.05,False
2,2013-03-03,1.6199999999999999,False
3,2013-03-04,7.6499999999999995,False
4,2013-03-05,7.109999999999999,False
5,2013-03-06,8.82,False
6,2013-03-07,6.029999999999999,False
7,2013-03-08,7.38,False
8,2013-03-09,3.33,False
9,2013-03-10,1.6199999999999999,False
10,2013-03-11,5.58,False
11,2013-03-12,5.76,False
12,2013-03-13,6.3,False
13,2013-03-14,5.85,False
14,2013-03-15,4.05,False
15,2013-03-16,3.5999999999999996,False
16,2013-03-17,0.99,False
17,2013-03-18,4.14,False
18,2013-03-19,4.14,False
19,2013-03-20,5.3999999999999995,False
20,2013-03-21,5.67,False
