,date,GOOG stock,isPartial
16,2012-06-17,0.0,False
17,2012-06-18,1.7000000000000002,False
18,2012-06-19,1.7000000000000002,False
19,2012-06-20,2.15,False
20,2012-06-21,1.3,False
21,2012-06-22,1.85,False
22,2012-06-23,1.1,False
23,2012-06-24,0.0,False
24,2012-06-25,3.0,False
25,2012-06-26,0.8500000000000001,False
26,2012-06-27,1.75,False
27,2012-06-28,0.9,False
28,2012-06-29,1.4000000000000001,False
29,2012-06-30,0.55,False
0,2012-07-01,3.3,False
1,2012-07-02,5.3999999999999995,False
2,2012-07-03,3.12,False
3,2012-07-04,1.44,False
4,2012-07-05,3.7199999999999998,False
5,2012-07-06,3.84,False
6,2012-07-07,2.28,False
7,2012-07-08,1.14,False
8,2012-07-09,3.12,False
9,2012-07-10,4.38,False
10,2012-07-11,4.62,False
11,2012-07-12,2.76,False
12,2012-07-13,5.7,False
13,2012-07-14,2.82,False
14,2012-07-15,2.28,False
15,2012-07-16,3.1799999999999997,False
16,2012-07-17,5.3999999999999995,False
17,2012-07-18,1.38,False
18,2012-07-19,6.0,False
19,2012-07-20,5.76,False
20,2012-07-21,4.02,False
21,2012-07-22,2.28,False
22,2012-07-23,2.6999999999999997,False
23,2012-07-24,5.04,False
24,2012-07-25,3.1799999999999997,False
25,2012-07-26,5.58,False
26,2012-07-27,4.859999999999999,False
27,2012-07-28,1.68,False
28,2012-07-29,1.14,False
29,2012-07-30,4.5,False
30,2012-07-31,4.9799999999999995,False
0,2012-08-01,1.6500000000000001,False
1,2012-08-02,2.2,False
2,2012-08-03,1.75,False
3,2012-08-04,2.0500000000000003,False
4,2012-08-05,0.7000000000000001,False
5,2012-08-06,2.2,False
6,2012-08-07,3.3000000000000003,False
7,2012-08-08,2.25,False
8,2012-08-09,1.1,False
9,2012-08-10,4.05,False
10,2012-08-11,0.7000000000000001,False
11,2012-08-12,1.4000000000000001,False
12,2012-08-13,5.0,False
13,2012-08-14,2.75,False
14,2012-08-15,2.3000000000000003,False
15,2012-08-16,4.5,False
16,2012-08-17,0.6000000000000001,False
17,2012-08-18,0.7000000000000001,False
18,2012-08-19,1.4000000000000001,False
19,2012-08-20,4.55,False
20,2012-08-21,4.5,False
21,2012-08-22,2.75,False
22,2012-08-23,2.8000000000000003,False
23,2012-08-24,1.75,False
24,2012-08-25,1.35,False
25,2012-08-26,1.3,False
26,2012-08-27,1.6,False
27,2012-08-28,2.7,False
28,2012-08-29,2.15,False
29,2012-08-30,2.2,False
30,2012-08-31,1.1,False
0,2012-09-01,0.56,False
1,2012-09-02,0.56,False
2,2012-09-03,0.48,False
3,2012-09-04,2.8000000000000003,False
4,2012-09-05,1.44,False
5,2012-09-06,1.92,False
6,2012-09-07,4.08,False
7,2012-09-08,2.32,False
8,2012-09-09,1.12,False
9,2012-09-10,6.0,False
10,2012-09-11,1.44,False
11,2012-09-12,3.2800000000000002,False
12,2012-09-13,3.7600000000000002,False
13,2012-09-14,1.92,False
14,2012-09-15,2.88,False
15,2012-09-16,1.12,False
16,2012-09-17,2.32,False
17,2012-09-18,2.8000000000000003,False
18,2012-09-19,5.12,False
19,2012-09-20,2.4,False
20,2012-09-21,2.96,False
21,2012-09-22,1.68,False
22,2012-09-23,2.16,False
23,2012-09-24,2.8000000000000003,False
24,2012-09-25,4.16,False
25,2012-09-26,8.0,False
26,2012-09-27,3.2800000000000002,False
27,2012-09-28,4.4,False
28,2012-09-29,0.56,False
29,2012-09-30,1.68,False
0,2012-10-01,2.75,False
1,2012-10-02,2.64,False
2,2012-10-03,3.96,False
3,2012-10-04,1.87,False
4,2012-10-05,1.98,False
5,2012-10-06,2.31,False
6,2012-10-07,0.44,False
7,2012-10-08,2.64,False
8,2012-10-09,2.2,False
9,2012-10-10,3.41,False
10,2012-10-11,0.77,False
11,2012-10-12,2.42,False
12,2012-10-13,0.88,False
13,2012-10-14,0.0,False
14,2012-10-15,0.77,False
15,2012-10-16,2.97,False
16,2012-10-17,2.97,False
17,2012-10-18,9.35,False
18,2012-10-19,11.0,False
19,2012-10-20,2.75,False
20,2012-10-21,0.44,False
21,2012-10-22,4.07,False
22,2012-10-23,5.17,False
23,2012-10-24,3.41,False
24,2012-10-25,3.08,False
25,2012-10-26,3.96,False
26,2012-10-27,1.32,False
27,2012-10-28,0.44,False
28,2012-10-29,4.29,False
29,2012-10-30,2.53,False
30,2012-10-31,4.95,False
0,2012-11-01,5.670000000000001,False
1,2012-11-02,3.0100000000000002,False
2,2012-11-03,1.4700000000000002,False
3,2012-11-04,1.4700000000000002,False
4,2012-11-05,5.53,False
5,2012-11-06,3.6400000000000006,False
6,2012-11-07,5.74,False
7,2012-11-08,4.340000000000001,False
8,2012-11-09,4.2700000000000005,False
9,2012-11-10,1.12,False
10,2012-11-11,1.4700000000000002,False
11,2012-11-12,3.99,False
12,2012-11-13,3.43,False
13,2012-11-14,4.62,False
14,2012-11-15,4.760000000000001,False
15,2012-11-16,5.460000000000001,False
16,2012-11-17,2.1700000000000004,False
17,2012-11-18,1.4700000000000002,False
18,2012-11-19,7.000000000000001,False
19,2012-11-20,4.2700000000000005,False
20,2012-11-21,1.8900000000000001,False
21,2012-11-22,2.5900000000000003,False
22,2012-11-23,2.31,False
23,2012-11-24,0.7000000000000001,False
24,2012-11-25,0.7000000000000001,False
25,2012-11-26,2.1,False
26,2012-11-27,5.390000000000001,False
27,2012-11-28,5.74,False
28,2012-11-29,3.9200000000000004,False
29,2012-11-30,3.5000000000000004,False
0,2012-12-01,3.2,False
1,2012-12-02,1.76,False
2,2012-12-03,6.72,False
3,2012-12-04,3.36,False
4,2012-12-05,6.08,False
5,2012-12-06,2.72,False
6,2012-12-07,8.0,False
7,2012-12-08,3.68,False
8,2012-12-09,1.76,False
9,2012-12-10,1.84,False
10,2012-12-11,7.5200000000000005,False
11,2012-12-12,3.84,False
12,2012-12-13,6.16,False
13,2012-12-14,7.2,False
14,2012-12-15,2.72,False
15,2012-12-16,2.24,False
16,2012-12-17,6.48,False
17,2012-12-18,7.28,False
18,2012-12-19,5.44,False
19,2012-12-20,4.32,False
20,2012-12-21,2.48,False
21,2012-12-22,1.92,False
22,2012-12-23,1.92,False
23,2012-12-24,3.36,False
24,2012-12-25,2.08,False
25,2012-12-26,2.56,False
26,2012-12-27,3.2800000000000002,False
27,2012-12-28,3.7600000000000002,False
28,2012-12-29,1.36,False
29,2012-12-30,1.84,False
30,2012-12-31,3.7600000000000002,False
0,2013-01-01,1.44,False
1,2013-01-02,7.47,False
2,2013-01-03,3.33,False
3,2013-01-04,3.42,False
4,2013-01-05,0.63,False
5,2013-01-06,2.52,False
6,2013-01-07,4.95,False
7,2013-01-08,4.859999999999999,False
8,2013-01-09,5.3999999999999995,False
9,2013-01-10,2.6999999999999997,False
10,2013-01-11,3.33,False
11,2013-01-12,1.26,False
12,2013-01-13,1.26,False
13,2013-01-14,6.39,False
14,2013-01-15,5.76,False
15,2013-01-16,2.61,False
16,2013-01-17,2.61,False
17,2013-01-18,6.569999999999999,False
18,2013-01-19,1.26,False
19,2013-01-20,2.4299999999999997,False
20,2013-01-21,1.08,False
21,2013-01-22,8.28,False
22,2013-01-23,8.459999999999999,False
23,2013-01-24,9.0,False
24,2013-01-25,4.41,False
25,2013-01-26,1.26,False
26,2013-01-27,1.26,False
27,2013-01-28,3.5999999999999996,False
