,date,PFE stock,isPartial
25,2012-07-26,2.88,False
26,2012-07-27,6.0,False
27,2012-07-28,0.0,False
28,2012-07-29,0.0,False
29,2012-07-30,2.76,False
30,2012-07-31,7.08,False
0,2012-08-01,7.5200000000000005,False
1,2012-08-02,10.08,False
2,2012-08-03,10.56,False
3,2012-08-04,0.0,False
4,2012-08-05,6.08,False
5,2012-08-06,12.48,False
6,2012-08-07,10.08,False
7,2012-08-08,9.92,False
8,2012-08-09,12.64,False
9,2012-08-10,10.56,False
10,2012-08-11,6.24,False
11,2012-08-12,6.24,False
12,2012-08-13,10.08,False
13,2012-08-14,0.0,False
14,2012-08-15,7.84,False
15,2012-08-16,12.64,False
16,2012-08-17,16.0,False
17,2012-08-18,0.0,False
18,2012-08-19,0.0,False
19,2012-08-20,10.24,False
20,2012-08-21,0.0,False
21,2012-08-22,4.96,False
22,2012-08-23,15.200000000000001,False
23,2012-08-24,10.4,False
24,2012-08-25,5.92,False
25,2012-08-26,5.92,False
26,2012-08-27,14.56,False
27,2012-08-28,4.8,False
28,2012-08-29,7.36,False
29,2012-08-30,9.92,False
30,2012-08-31,4.96,False
0,2012-09-01,0.0,False
1,2012-09-02,6.970000000000001,False
2,2012-09-03,0.0,False
3,2012-09-04,5.61,False
4,2012-09-05,11.39,False
5,2012-09-06,0.0,False
6,2012-09-07,12.24,False
7,2012-09-08,7.140000000000001,False
8,2012-09-09,0.0,False
9,2012-09-10,5.61,False
10,2012-09-11,16.830000000000002,False
11,2012-09-12,5.61,False
12,2012-09-13,0.0,False
13,2012-09-14,11.9,False
14,2012-09-15,6.970000000000001,False
15,2012-09-16,6.800000000000001,False
16,2012-09-17,11.56,False
17,2012-09-18,11.05,False
18,2012-09-19,11.05,False
19,2012-09-20,17.0,False
20,2012-09-21,11.9,False
21,2012-09-22,6.800000000000001,False
22,2012-09-23,0.0,False
23,2012-09-24,5.61,False
24,2012-09-25,5.61,False
25,2012-09-26,11.22,False
26,2012-09-27,5.61,False
27,2012-09-28,11.9,False
28,2012-09-29,0.0,False
29,2012-09-30,0.0,False
0,2012-10-01,0.0,False
1,2012-10-02,8.5,False
2,2012-10-03,13.090000000000002,False
3,2012-10-04,17.0,False
4,2012-10-05,13.090000000000002,False
5,2012-10-06,5.1000000000000005,False
6,2012-10-07,4.930000000000001,False
7,2012-10-08,8.33,False
8,2012-10-09,12.41,False
9,2012-10-10,4.25,False
10,2012-10-11,4.25,False
11,2012-10-12,0.0,False
12,2012-10-13,5.1000000000000005,False
13,2012-10-14,4.930000000000001,False
14,2012-10-15,8.16,False
15,2012-10-16,8.16,False
16,2012-10-17,0.0,False
17,2012-10-18,4.08,False
18,2012-10-19,8.67,False
19,2012-10-20,5.1000000000000005,False
20,2012-10-21,0.0,False
21,2012-10-22,4.08,False
22,2012-10-23,4.08,False
23,2012-10-24,0.0,False
24,2012-10-25,4.25,False
25,2012-10-26,4.42,False
26,2012-10-27,0.0,False
27,2012-10-28,0.0,False
28,2012-10-29,0.0,False
29,2012-10-30,0.0,False
30,2012-10-31,8.5,False
0,2012-11-01,9.1,False
1,2012-11-02,9.23,False
2,2012-11-03,10.14,False
3,2012-11-04,0.0,False
4,2012-11-05,10.4,False
5,2012-11-06,4.16,False
6,2012-11-07,8.32,False
7,2012-11-08,4.16,False
8,2012-11-09,6.63,False
9,2012-11-10,0.0,False
10,2012-11-11,4.94,False
11,2012-11-12,6.37,False
12,2012-11-13,6.37,False
13,2012-11-14,6.37,False
14,2012-11-15,8.71,False
15,2012-11-16,11.05,False
16,2012-11-17,0.0,False
17,2012-11-18,4.94,False
18,2012-11-19,6.24,False
19,2012-11-20,4.16,False
20,2012-11-21,6.37,False
21,2012-11-22,4.42,False
22,2012-11-23,4.42,False
23,2012-11-24,5.07,False
24,2012-11-25,9.88,False
25,2012-11-26,8.32,False
26,2012-11-27,6.11,False
27,2012-11-28,4.03,False
28,2012-11-29,8.19,False
29,2012-11-30,13.0,False
0,2012-12-01,0.0,False
1,2012-12-02,3.9000000000000004,False
2,2012-12-03,3.3000000000000003,False
3,2012-12-04,3.3000000000000003,False
4,2012-12-05,6.7,False
5,2012-12-06,0.0,False
6,2012-12-07,5.300000000000001,False
7,2012-12-08,0.0,False
8,2012-12-09,0.0,False
9,2012-12-10,6.6000000000000005,False
10,2012-12-11,3.3000000000000003,False
11,2012-12-12,3.4000000000000004,False
12,2012-12-13,3.4000000000000004,False
13,2012-12-14,3.5,False
14,2012-12-15,0.0,False
15,2012-12-16,0.0,False
16,2012-12-17,10.0,False
17,2012-12-18,3.4000000000000004,False
18,2012-12-19,3.4000000000000004,False
19,2012-12-20,5.2,False
20,2012-12-21,7.4,False
21,2012-12-22,4.1000000000000005,False
22,2012-12-23,0.0,False
23,2012-12-24,0.0,False
24,2012-12-25,0.0,False
25,2012-12-26,3.8000000000000003,False
26,2012-12-27,9.0,False
