"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 16, 2019","179.35","180.94","181.53","179.14","3.38M","-0.92%"
"Jan 15, 2019","181.02","181.47","183.21","180.74","3.86M","-0.11%"
"Jan 14, 2019","181.22","181.42","181.75","180.69","1.89M","-0.63%"
"Jan 11, 2019","182.37","180.59","182.40","180.46","2.35M","0.45%"
"Jan 10, 2019","181.55","179.84","181.88","179.32","2.50M","0.70%"
"Jan 09, 2019","180.29","180.56","180.90","179.19","2.68M","-0.17%"
"Jan 08, 2019","180.60","181.96","182.29","179.91","2.94M","0.21%"
"Jan 07, 2019","180.22","178.14","181.88","178.14","3.28M","1.09%"
"Jan 04, 2019","178.28","176.03","179.20","175.69","3.19M","1.93%"
"Jan 03, 2019","174.90","175.45","176.45","174.41","3.73M","-0.66%"
"Jan 02, 2019","176.06","175.41","176.30","174.17","2.57M","-0.85%"
"Dec 31, 2018","177.57","175.96","177.80","175.60","2.48M","1.14%"
"Dec 28, 2018","175.56","176.30","177.50","174.85","2.90M","-0.09%"
"Dec 27, 2018","175.71","173.29","175.71","170.73","3.93M","0.97%"
"Dec 26, 2018","174.03","170.09","174.04","169.04","4.07M","2.20%"
"Dec 24, 2018","170.28","174.24","175.27","170.17","2.40M","-2.22%"
"Dec 21, 2018","174.15","173.53","177.65","173.53","8.54M","0.27%"
"Dec 20, 2018","173.68","178.21","178.81","172.54","5.78M","-3.06%"
"Dec 19, 2018","179.16","180.95","182.98","178.58","3.88M","-0.31%"
"Dec 18, 2018","179.71","182.24","182.61","179.06","4.27M","-0.60%"
"Dec 17, 2018","180.79","182.80","183.62","180.20","4.57M","-1.36%"
"Dec 14, 2018","183.29","185.26","185.26","182.20","4.45M","-1.68%"
"Dec 13, 2018","186.43","184.00","186.76","183.81","2.74M","1.61%"
"Dec 12, 2018","183.48","183.93","184.84","182.35","3.02M","-0.06%"
"Dec 11, 2018","183.59","186.57","186.83","182.87","2.89M","-0.57%"
"Dec 10, 2018","184.65","182.96","185.09","180.55","3.08M","0.92%"
"Dec 07, 2018","182.96","185.33","187.20","182.67","3.09M","-1.34%"
"Dec 06, 2018","185.45","182.74","185.75","182.10","4.88M","0.22%"
"Dec 04, 2018","185.04","185.79","188.08","184.90","4.44M","-0.18%"
"Dec 03, 2018","185.37","188.10","188.42","184.67","4.40M","-1.67%"
"Nov 30, 2018","188.51","188.34","189.23","186.76","6.64M","-0.40%"
