,date,INTC stock,isPartial
20,2012-06-21,0.0,False
21,2012-06-22,2.0300000000000002,False
22,2012-06-23,3.2900000000000005,False
23,2012-06-24,0.0,False
24,2012-06-25,1.2600000000000002,False
25,2012-06-26,2.5200000000000005,False
26,2012-06-27,2.5900000000000003,False
27,2012-06-28,1.33,False
28,2012-06-29,1.33,False
29,2012-06-30,0.0,False
0,2012-07-01,0.0,False
1,2012-07-02,3.5000000000000004,False
2,2012-07-03,1.6800000000000002,False
3,2012-07-04,0.0,False
4,2012-07-05,1.7500000000000002,False
5,2012-07-06,1.8200000000000003,False
6,2012-07-07,2.1700000000000004,False
7,2012-07-08,0.0,False
8,2012-07-09,6.86,False
9,2012-07-10,1.6800000000000002,False
10,2012-07-11,3.5000000000000004,False
11,2012-07-12,1.7500000000000002,False
12,2012-07-13,1.8200000000000003,False
13,2012-07-14,2.1700000000000004,False
14,2012-07-15,0.0,False
15,2012-07-16,3.43,False
16,2012-07-17,3.43,False
17,2012-07-18,3.43,False
18,2012-07-19,0.0,False
19,2012-07-20,5.460000000000001,False
20,2012-07-21,0.0,False
21,2012-07-22,0.0,False
22,2012-07-23,3.5000000000000004,False
23,2012-07-24,0.0,False
24,2012-07-25,7.000000000000001,False
25,2012-07-26,1.8200000000000003,False
26,2012-07-27,0.0,False
27,2012-07-28,0.0,False
28,2012-07-29,0.0,False
29,2012-07-30,1.6800000000000002,False
30,2012-07-31,1.7500000000000002,False
0,2012-08-01,3.36,False
1,2012-08-02,4.5600000000000005,False
2,2012-08-03,0.0,False
3,2012-08-04,2.8000000000000003,False
4,2012-08-05,0.0,False
5,2012-08-06,4.5600000000000005,False
6,2012-08-07,4.48,False
7,2012-08-08,0.0,False
8,2012-08-09,2.24,False
9,2012-08-10,3.52,False
10,2012-08-11,2.8000000000000003,False
11,2012-08-12,0.0,False
12,2012-08-13,4.5600000000000005,False
13,2012-08-14,7.84,False
14,2012-08-15,7.04,False
15,2012-08-16,8.0,False
16,2012-08-17,0.0,False
17,2012-08-18,2.88,False
18,2012-08-19,0.0,False
19,2012-08-20,5.76,False
20,2012-08-21,4.5600000000000005,False
21,2012-08-22,2.24,False
22,2012-08-23,6.8,False
23,2012-08-24,2.32,False
24,2012-08-25,4.08,False
25,2012-08-26,4.0,False
26,2012-08-27,3.2800000000000002,False
27,2012-08-28,3.2800000000000002,False
28,2012-08-29,4.32,False
29,2012-08-30,4.4,False
30,2012-08-31,8.0,False
0,2012-09-01,1.71,False
1,2012-09-02,1.6199999999999999,False
2,2012-09-03,0.0,False
3,2012-09-04,1.3499999999999999,False
4,2012-09-05,2.6999999999999997,False
5,2012-09-06,2.07,False
6,2012-09-07,4.32,False
7,2012-09-08,1.6199999999999999,False
8,2012-09-09,1.6199999999999999,False
9,2012-09-10,3.96,False
10,2012-09-11,6.66,False
11,2012-09-12,2.61,False
12,2012-09-13,4.05,False
13,2012-09-14,9.0,False
14,2012-09-15,1.6199999999999999,False
15,2012-09-16,1.6199999999999999,False
16,2012-09-17,2.6999999999999997,False
17,2012-09-18,2.61,False
18,2012-09-19,5.22,False
19,2012-09-20,2.6999999999999997,False
20,2012-09-21,2.79,False
21,2012-09-22,1.6199999999999999,False
22,2012-09-23,1.53,False
23,2012-09-24,3.33,False
24,2012-09-25,4.59,False
25,2012-09-26,2.6999999999999997,False
26,2012-09-27,1.98,False
