,date,AMZN stock,isPartial
27,2012-07-28,0.47000000000000003,False
28,2012-07-29,0.24,False
29,2012-07-30,0.56,False
30,2012-07-31,0.93,False
0,2012-08-01,1.06,False
1,2012-08-02,0.42,False
2,2012-08-03,2.0,False
3,2012-08-04,0.0,False
4,2012-08-05,0.0,False
5,2012-08-06,0.84,False
6,2012-08-07,0.42,False
7,2012-08-08,0.84,False
8,2012-08-09,1.28,False
9,2012-08-10,0.44,False
10,2012-08-11,0.0,False
11,2012-08-12,0.52,False
12,2012-08-13,0.84,False
13,2012-08-14,0.42,False
14,2012-08-15,0.44,False
15,2012-08-16,1.28,False
16,2012-08-17,1.56,False
17,2012-08-18,1.06,False
18,2012-08-19,0.0,False
19,2012-08-20,0.42,False
20,2012-08-21,1.26,False
21,2012-08-22,0.84,False
22,2012-08-23,0.0,False
23,2012-08-24,0.66,False
24,2012-08-25,0.0,False
25,2012-08-26,0.98,False
26,2012-08-27,0.8,False
27,2012-08-28,1.42,False
28,2012-08-29,1.02,False
29,2012-08-30,1.46,False
30,2012-08-31,0.64,False
0,2012-09-01,0.0,False
1,2012-09-02,0.0,False
2,2012-09-03,0.0,False
3,2012-09-04,0.2,False
4,2012-09-05,0.2,False
5,2012-09-06,1.0,False
6,2012-09-07,0.63,False
7,2012-09-08,0.24,False
8,2012-09-09,0.0,False
9,2012-09-10,0.19,False
10,2012-09-11,0.78,False
11,2012-09-12,0.2,False
12,2012-09-13,0.2,False
13,2012-09-14,0.0,False
14,2012-09-15,0.0,False
15,2012-09-16,0.0,False
16,2012-09-17,0.39,False
17,2012-09-18,0.38,False
18,2012-09-19,0.19,False
19,2012-09-20,0.4,False
20,2012-09-21,0.2,False
21,2012-09-22,0.0,False
22,2012-09-23,0.0,False
23,2012-09-24,0.0,False
24,2012-09-25,0.0,False
25,2012-09-26,0.39,False
26,2012-09-27,0.39,False
27,2012-09-28,0.2,False
28,2012-09-29,0.0,False
29,2012-09-30,0.0,False
0,2012-10-01,0.72,False
1,2012-10-02,1.06,False
2,2012-10-03,1.26,False
3,2012-10-04,0.52,False
4,2012-10-05,0.9,False
5,2012-10-06,0.0,False
6,2012-10-07,0.8200000000000001,False
7,2012-10-08,0.34,False
8,2012-10-09,0.34,False
9,2012-10-10,1.3800000000000001,False
10,2012-10-11,0.52,False
11,2012-10-12,0.72,False
12,2012-10-13,0.0,False
13,2012-10-14,0.4,False
14,2012-10-15,1.34,False
15,2012-10-16,0.68,False
16,2012-10-17,1.36,False
17,2012-10-18,1.02,False
18,2012-10-19,1.44,False
19,2012-10-20,0.42,False
20,2012-10-21,0.0,False
21,2012-10-22,1.02,False
22,2012-10-23,0.34,False
23,2012-10-24,1.18,False
24,2012-10-25,1.74,False
25,2012-10-26,2.0,False
26,2012-10-27,0.84,False
27,2012-10-28,0.4,False
28,2012-10-29,0.5,False
29,2012-10-30,0.5,False
30,2012-10-31,0.86,False
0,2012-11-01,0.42,False
1,2012-11-02,0.42,False
2,2012-11-03,0.46,False
3,2012-11-04,0.92,False
4,2012-11-05,0.96,False
5,2012-11-06,0.96,False
6,2012-11-07,0.38,False
7,2012-11-08,0.98,False
8,2012-11-09,1.02,False
9,2012-11-10,0.0,False
10,2012-11-11,0.46,False
