,date,HD stock,isPartial
21,2012-06-22,19.2,False
22,2012-06-23,16.64,False
23,2012-06-24,12.16,False
24,2012-06-25,16.32,False
25,2012-06-26,16.32,False
26,2012-06-27,19.84,False
27,2012-06-28,23.36,False
28,2012-06-29,16.0,False
29,2012-06-30,6.4,False
0,2012-07-01,19.53,False
1,2012-07-02,21.7,False
2,2012-07-03,21.7,False
3,2012-07-04,8.99,False
4,2012-07-05,20.77,False
5,2012-07-06,18.29,False
6,2012-07-07,31.0,False
7,2012-07-08,8.99,False
8,2012-07-09,9.92,False
9,2012-07-10,21.39,False
10,2012-07-11,14.879999999999999,False
11,2012-07-12,10.23,False
12,2012-07-13,13.64,False
13,2012-07-14,7.13,False
14,2012-07-15,12.709999999999999,False
15,2012-07-16,21.7,False
16,2012-07-17,18.6,False
17,2012-07-18,27.59,False
18,2012-07-19,10.23,False
19,2012-07-20,18.29,False
20,2012-07-21,23.87,False
21,2012-07-22,20.15,False
22,2012-07-23,16.12,False
23,2012-07-24,14.57,False
24,2012-07-25,10.23,False
25,2012-07-26,20.77,False
26,2012-07-27,12.4,False
27,2012-07-28,19.84,False
28,2012-07-29,7.13,False
29,2012-07-30,11.47,False
30,2012-07-31,8.68,False
0,2012-08-01,12.709999999999999,False
1,2012-08-02,31.0,False
2,2012-08-03,5.58,False
3,2012-08-04,0.0,False
4,2012-08-05,9.3,False
5,2012-08-06,10.23,False
6,2012-08-07,12.709999999999999,False
7,2012-08-08,22.63,False
8,2012-08-09,10.23,False
9,2012-08-10,2.79,False
10,2012-08-11,3.1,False
11,2012-08-12,16.12,False
12,2012-08-13,20.46,False
13,2012-08-14,12.709999999999999,False
14,2012-08-15,16.12,False
15,2012-08-16,13.02,False
16,2012-08-17,26.97,False
17,2012-08-18,6.51,False
18,2012-08-19,9.61,False
19,2012-08-20,7.75,False
20,2012-08-21,17.98,False
21,2012-08-22,17.669999999999998,False
22,2012-08-23,31.0,False
23,2012-08-24,16.12,False
24,2012-08-25,9.3,False
25,2012-08-26,17.98,False
26,2012-08-27,9.92,False
27,2012-08-28,7.4399999999999995,False
28,2012-08-29,12.4,False
29,2012-08-30,12.709999999999999,False
30,2012-08-31,5.27,False
0,2012-09-01,9.719999999999999,False
1,2012-09-02,11.879999999999999,False
2,2012-09-03,13.32,False
3,2012-09-04,11.16,False
4,2012-09-05,25.56,False
5,2012-09-06,24.119999999999997,False
6,2012-09-07,27.0,False
7,2012-09-08,13.68,False
8,2012-09-09,28.799999999999997,False
9,2012-09-10,23.4,False
10,2012-09-11,28.08,False
11,2012-09-12,20.16,False
12,2012-09-13,30.24,False
13,2012-09-14,36.0,False
14,2012-09-15,7.56,False
15,2012-09-16,9.36,False
16,2012-09-17,20.52,False
17,2012-09-18,32.4,False
18,2012-09-19,18.72,False
19,2012-09-20,34.92,False
20,2012-09-21,21.599999999999998,False
21,2012-09-22,34.199999999999996,False
22,2012-09-23,14.76,False
23,2012-09-24,23.4,False
24,2012-09-25,12.6,False
25,2012-09-26,29.52,False
26,2012-09-27,6.4799999999999995,False
27,2012-09-28,19.8,False
28,2012-09-29,15.12,False
29,2012-09-30,22.68,False
0,2012-10-01,13.32,False
1,2012-10-02,10.36,False
2,2012-10-03,18.5,False
3,2012-10-04,28.49,False
4,2012-10-05,18.5,False
5,2012-10-06,12.58,False
6,2012-10-07,12.209999999999999,False
7,2012-10-08,17.759999999999998,False
8,2012-10-09,9.99,False
9,2012-10-10,22.94,False
10,2012-10-11,28.49,False
11,2012-10-12,29.6,False
12,2012-10-13,12.209999999999999,False
13,2012-10-14,11.84,False
14,2012-10-15,4.81,False
15,2012-10-16,12.58,False
16,2012-10-17,17.759999999999998,False
17,2012-10-18,30.34,False
18,2012-10-19,13.32,False
19,2012-10-20,6.29,False
20,2012-10-21,24.419999999999998,False
21,2012-10-22,9.99,False
22,2012-10-23,14.8,False
23,2012-10-24,9.99,False
24,2012-10-25,15.17,False
25,2012-10-26,13.32,False
26,2012-10-27,37.0,False
27,2012-10-28,20.35,False
28,2012-10-29,19.24,False
29,2012-10-30,21.83,False
30,2012-10-31,31.08,False
0,2012-11-01,11.069999999999999,False
1,2012-11-02,25.419999999999998,False
2,2012-11-03,12.709999999999999,False
3,2012-11-04,3.28,False
4,2012-11-05,30.749999999999996,False
5,2012-11-06,10.25,False
6,2012-11-07,12.709999999999999,False
7,2012-11-08,29.52,False
8,2012-11-09,19.27,False
9,2012-11-10,21.73,False
10,2012-11-11,15.579999999999998,False
11,2012-11-12,20.91,False
12,2012-11-13,26.24,False
13,2012-11-14,26.24,False
14,2012-11-15,31.979999999999997,False
15,2012-11-16,16.4,False
16,2012-11-17,18.45,False
17,2012-11-18,9.02,False
18,2012-11-19,41.0,False
19,2012-11-20,20.5,False
20,2012-11-21,28.7,False
21,2012-11-22,13.53,False
22,2012-11-23,33.62,False
23,2012-11-24,15.579999999999998,False
24,2012-11-25,21.32,False
25,2012-11-26,20.5,False
26,2012-11-27,17.63,False
27,2012-11-28,25.419999999999998,False
28,2012-11-29,18.04,False
29,2012-11-30,26.65,False
0,2012-12-01,17.63,False
1,2012-12-02,20.09,False
2,2012-12-03,41.0,False
3,2012-12-04,16.81,False
4,2012-12-05,31.569999999999997,False
5,2012-12-06,17.22,False
6,2012-12-07,17.63,False
7,2012-12-08,11.889999999999999,False
8,2012-12-09,11.069999999999999,False
9,2012-12-10,14.35,False
10,2012-12-11,16.81,False
11,2012-12-12,24.599999999999998,False
12,2012-12-13,22.139999999999997,False
13,2012-12-14,10.25,False
14,2012-12-15,14.35,False
15,2012-12-16,22.959999999999997,False
16,2012-12-17,17.22,False
17,2012-12-18,26.65,False
18,2012-12-19,32.39,False
19,2012-12-20,7.38,False
20,2012-12-21,37.72,False
21,2012-12-22,20.91,False
22,2012-12-23,9.43,False
23,2012-12-24,27.88,False
24,2012-12-25,13.12,False
25,2012-12-26,19.27,False
26,2012-12-27,23.369999999999997,False
27,2012-12-28,29.52,False
28,2012-12-29,29.93,False
29,2012-12-30,9.02,False
30,2012-12-31,20.91,False
0,2013-01-01,18.62,False
1,2013-01-02,16.34,False
2,2013-01-03,31.92,False
3,2013-01-04,17.86,False
